,,0
1INCH-USDT_close,STG-USDT_close,-0.7889058592620791
1INCH-USDT_close,ETH-USDT_close,-0.7818184182434543
REEF-USDT_close,ETH-USDT_close,-0.7805490825433272
BTC-USDT_close,REEF-USDT_close,-0.766254692516955
ALICE-USDT_close,BTC-USDT_close,-0.7635333219734687
ETH-USDT_close,ALICE-USDT_close,-0.7607120858263483
REEF-USDT_close,KAVA-USDT_close,-0.7583261376247625
FLOW-USDT_close,HNT-USDT_close,-0.7560555087918676
REEF-USDT_close,BNB-USDT_close,-0.7527939544738395
1INCH-USDT_close,BNB-USDT_close,-0.751688237067562
NEO-USDT_close,OMG-USDT_close,0.7501429443714389
DAR-USDT_close,API3-USDT_close,0.7513230053476152
ALGO-USDT_close,BCH-USDT_close,0.7521043390953184
BTC-USDT_close,NEO-USDT_close,0.75308123108697
OMG-USDT_close,THETA-USDT_close,0.75458311552167
ARPA-USDT_close,KAVA-USDT_close,0.7559132215570559
BNB-USDT_close,ALGO-USDT_close,0.7567354672470019
IMX-USDT_close,ICP-USDT_close,0.7583168878846518
IMX-USDT_close,API3-USDT_close,0.7589178217321393
ETC-USDT_close,GMT-USDT_close,0.7605382872686735
XMR-USDT_close,OMG-USDT_close,0.7612105981943218
FLOW-USDT_close,STG-USDT_close,0.7696281831502073
ETH-USDT_close,KAVA-USDT_close,0.7729051094849262
COMP-USDT_close,SNX-USDT_close,0.7746353324430335
DASH-USDT_close,BTC-USDT_close,0.7753786668541144
IMX-USDT_close,GAL-USDT_close,0.7764064362684862
BCH-USDT_close,XMR-USDT_close,0.7764642418513534
HOT-USDT_close,ETH-USDT_close,0.7765935417690363
ALGO-USDT_close,XMR-USDT_close,0.7776132335877213
OMG-USDT_close,XLM-USDT_close,0.7776604612793857
APE-USDT_close,DAR-USDT_close,0.7780517942943237
SNX-USDT_close,UNI-USDT_close,0.7783982893573174
ETH-USDT_close,OMG-USDT_close,0.7785485707074346
IMX-USDT_close,DAR-USDT_close,0.7795699810890286
UNI-USDT_close,FIL-USDT_close,0.7809949402267863
DASH-USDT_close,ALGO-USDT_close,0.7812679271658578
ATOM-USDT_close,OMG-USDT_close,0.7838525696651283
IMX-USDT_close,WOO-USDT_close,0.7854624826513803
PEOPLE-USDT_close,WOO-USDT_close,0.7872376922396715
OMG-USDT_close,HOT-USDT_close,0.7873758844393209
APE-USDT_close,JASMY-USDT_close,0.7887889597174017
NEO-USDT_close,KAVA-USDT_close,0.7921724244131796
LIT-USDT_close,WOO-USDT_close,0.7936979449574655
HOT-USDT_close,DASH-USDT_close,0.7970250544538402
BNB-USDT_close,HOT-USDT_close,0.7978243899013553
PEOPLE-USDT_close,ICP-USDT_close,0.7982784909081501
DASH-USDT_close,KAVA-USDT_close,0.799849767858119
GMT-USDT_close,DYDX-USDT_close,0.8005485345362877
XMR-USDT_close,DASH-USDT_close,0.8034838214525986
INJ-USDT_close,FIL-USDT_close,0.8041732475138396
FLOW-USDT_close,APE-USDT_close,0.8043260843830049
GAL-USDT_close,PEOPLE-USDT_close,0.8051664084465235
LTC-USDT_close,KAVA-USDT_close,0.8053628647730472
JASMY-USDT_close,DAR-USDT_close,0.8055207040676987
ALGO-USDT_close,THETA-USDT_close,0.8055997776697341
OMG-USDT_close,LTC-USDT_close,0.8057994362578693
APE-USDT_close,DYDX-USDT_close,0.8087231298383393
LINK-USDT_close,HOT-USDT_close,0.8090504403828208
LIT-USDT_close,DYDX-USDT_close,0.8098851306892301
WOO-USDT_close,APE-USDT_close,0.8102245414311461
XLM-USDT_close,HOT-USDT_close,0.8118081380591294
ETC-USDT_close,XMR-USDT_close,0.8129277788800198
DYDX-USDT_close,IMX-USDT_close,0.8129297099374676
ETC-USDT_close,BNB-USDT_close,0.8141621671107601
IMX-USDT_close,STG-USDT_close,0.8144730469102205
XLM-USDT_close,KAVA-USDT_close,0.8165206447154518
