date,open,high,low,close,volume
1664582400000,19422.61,19484,19351.02,19402.88,8651.64878
1664586000000,19401.84,19431.97,19365.84,19423.84,6312.08506
1664589600000,19423.06,19436,19384.41,19413.79,5773.83532
1664593200000,19413.96,19438.75,19361.05,19416.05,5861.49212
1664596800000,19416.05,19423.63,19370.7,19407.43,5958.93517
1664600400000,19407.43,19418.88,19270.59,19317.92,12420.01718
1664604000000,19316.82,19324.94,19266.26,19292.82,7000.01196
1664607600000,19293.49,19343.03,19258.53,19309.84,7907.1828
1664611200000,19309.84,19349.31,19302.64,19335.03,5878.65763
1664614800000,19335.03,19367.98,19301.11,19329.5,5063.78487
1664618400000,19329.5,19365.39,19284,19327.95,6452.54559
1664622000000,19329,19347.76,19159.42,19312.04,11406.45974
1664625600000,19312.04,19314,19240.08,19296.57,7368.26743
1664629200000,19295.6,19400.02,19277.08,19332.38,9729.03234
1664632800000,19331.95,19346.53,19288,19321.72,7093.79878
1664636400000,19321.7,19363.72,19304.4,19330.95,5174.76131
1664640000000,19332.42,19353.81,19244.29,19291.16,9042.96834
1664643600000,19291.72,19317.06,19245.42,19277.7,6464.85381
1664647200000,19276.83,19310,19206.63,19298.73,6637.53778
1664650800000,19298.73,19328,19212.95,19266.15,6791.17077
1664654400000,19266.15,19281.4,19200,19250.25,5947.6783
1664658000000,19250.95,19319.87,19244.58,19288.42,2764.17013
1664661600000,19288.42,19338.94,19270,19324.28,5516.10869
1664665200000,19325.32,19342.63,19288.58,19310.95,4408.13569
1664668800000,19312.24,19327.28,19236,19277.97,6865.86884
1664672400000,19278.09,19312.7,19256.04,19308.1,5791.37898
1664676000000,19308.1,19345.88,19301.16,19318.36,5445.42583
1664679600000,19318.36,19332.36,19282.05,19310.83,5404.34505
1664683200000,19310.36,19337.96,19293.79,19333.97,5248.45831
1664686800000,19333.96,19395.91,19298,19330.58,8555.84825
1664690400000,19330.58,19383.61,19265.4,19278.81,8597.45238
1664694000000,19279.97,19310,19227.73,19285.26,7587.59017
1664697600000,19284.93,19300.55,19251.75,19283.34,6221.10155
1664701200000,19283.34,19293.83,19221.61,19261.57,6391.96535
1664704800000,19262.28,19265,19036,19101.05,15914.62642
1664708400000,19100.64,19269,19078.33,19192.43,10677.49064
1664712000000,19193.05,19247,19134.84,19159.33,8565.77126
1664715600000,19159.34,19199,19127.52,19162.56,6607.30471
1664719200000,19161.64,19182.89,19070,19104.63,8221.22664
1664722800000,19104.61,19159.75,19100.02,19143.94,6594.05558
