date,open,high,low,close,volume
1636023600000,109.7,230,109.7,141.1,246990.958
1636027200000,141,143,123.9,126.5,39028.629
1636030800000,126.7,139.7,126.3,129.2,28086.696
1636034400000,129.1,130,115.3,120.7,31058.892
1636038000000,120.3,132,115,128.9,20755.025
1636041600000,128.7,129,120,121.9,9673.244
1636045200000,121.9,136.8,120.8,129.2,15185.991
1636048800000,129.2,133.5,125.5,132.2,6519.678
1636052400000,132.1,137.9,131.5,136.7,12233.36
1636056000000,136.6,143,129.9,136.8,11553.927
1636059600000,136.8,137.2,130.9,131.7,5684.546
1636063200000,131.8,135.4,128.7,129,4235.791
1636066800000,129.4,137,129,131.4,5518.095
1636070400000,131.6,131.7,126.1,126.5,4190.982
1636074000000,126.4,130.7,124.3,125.2,6136.226
1636077600000,125.1,129.8,124,124.1,5663.211
1636081200000,124.2,125.9,119.5,120,5510.113
1636084800000,120,121.4,116.6,118.2,5749.145
1636088400000,118.2,121.2,116.2,119.5,5755.855
1636092000000,119.4,122.2,117.3,120.6,4931.207
1636095600000,120.6,124.5,119.5,120.7,6397.886
1636099200000,120.8,123.5,118.9,120,3302.781
1636102800000,120,120.6,117.3,117.9,3658.085
1636106400000,117.9,119.4,115.2,118,4574.803
1636110000000,118.2,122.9,117.3,118.6,6530.829
1636113600000,118.5,119.1,115.4,115.7,2958.997
1636117200000,115.6,117.6,113.5,114.2,3502.432
1636120800000,114.2,114.6,107.3,109.6,8385.627
1636124400000,109.3,120.7,109,113.6,8216.598
1636128000000,114.4,115.7,112.7,113.4,2366.528
1636131600000,113.9,117,113.5,115.9,1979.603
1636135200000,115.7,120,115.7,119.2,2650.633
1636138800000,119.2,119.2,115.8,116.6,1138.175
1636142400000,116.6,118,115.5,116.1,928.422
1636146000000,116.1,116.7,114.5,114.8,760.484
1636149600000,114.6,116.3,114,114.2,1235.486
1636153200000,114.6,115.7,114,114.1,491.132
1636156800000,114.2,116.2,111.6,112.4,3092.551
1636160400000,112.3,113.8,111.6,112.8,826.884
1636164000000,112.9,115.3,112.5,114,1172.633
1636167600000,114.3,120,112.3,117.4,6521.903
1636171200000,117.1,130,116.8,121.4,7118.999
1636174800000,121.5,124.1,119.5,119.5,2999.971
1636178400000,119.8,123.7,118,121.6,2569.777
1636182000000,121.3,125.1,121.2,123.1,2682.473
1636185600000,123.1,130.7,122.6,130.4,7569.181
