date,open,high,low,close,volume
1636012800000,0.023,16.79999,0.023,3.462,50352597
1636016400000,3.46,3.46,2.80753,3.13903,22599156
1636020000000,3.13778,3.265,2.855,2.86106,15621036
1636023600000,2.87013,3.2299,2.85,3.13588,10681714
1636027200000,3.13635,3.65999,3.02003,3.5412,21118938
1636030800000,3.54781,3.58999,3.021,3.09508,13405136
1636034400000,3.09333,3.10128,2.89,2.90042,7103396
1636038000000,2.90215,2.9577,2.55244,2.61704,9294769
1636041600000,2.61896,3.0468,2.50059,2.97741,11257762
1636045200000,2.97546,3.48724,2.85694,3.29833,15644025
1636048800000,3.29793,3.84467,3.06888,3.67208,21888118
1636052400000,3.66761,3.96,3.42727,3.60632,26998682
1636056000000,3.5999,3.60403,3.32274,3.3272,8343896
1636059600000,3.32715,3.45,3.09172,3.26085,6248192
1636063200000,3.26271,3.548,3.1888,3.26739,8553242
1636066800000,3.26707,3.43,3.21148,3.30427,4159906
1636070400000,3.30427,3.42565,2.98768,3.00262,4371797
1636074000000,3.00262,3.19999,2.851,3.1991,3411882
1636077600000,3.19912,3.2,2.94669,2.98894,2342598
1636081200000,2.99197,3.02769,2.78384,2.92033,2502935
1636084800000,2.92034,3.1,2.88,2.89367,2022549
1636088400000,2.8943,3.07839,2.87,3.002,2193487
1636092000000,3.002,3.067,2.91153,2.99865,2017451
1636095600000,2.99865,3.06,2.9571,2.96898,2252678
1636099200000,2.96719,2.98818,2.73059,2.75232,3741207
1636102800000,2.75492,2.82308,2.7,2.73602,2416313
1636106400000,2.73877,2.74546,2.58222,2.615,2455130
1636110000000,2.61685,2.69888,2.55678,2.58194,2520715
1636113600000,2.58194,2.64593,2.54016,2.61793,1589913
1636117200000,2.61793,2.8,2.60829,2.73127,2935621
1636120800000,2.73127,2.73902,2.56507,2.59384,1435408
1636124400000,2.59384,2.71284,2.5,2.69881,3300357
1636128000000,2.69132,3.07173,2.68609,2.72621,12229010
1636131600000,2.72946,2.77497,2.62401,2.65923,2702881
1636135200000,2.65792,2.71,2.65097,2.67938,930854
1636138800000,2.67938,2.789,2.6,2.6348,2265653
1636142400000,2.6348,2.683,2.57201,2.576,1458175
1636146000000,2.57618,2.67,2.57481,2.65137,1043552
1636149600000,2.65137,2.68727,2.60265,2.60873,843047
1636153200000,2.60869,2.64575,2.56691,2.59758,686303
1636156800000,2.59824,2.62476,2.5746,2.59261,651636
1636160400000,2.59261,2.59439,2.52331,2.55,850967
1636164000000,2.55,2.63,2.53,2.54693,741069
1636167600000,2.54693,2.55555,2.52851,2.54117,309988
1636171200000,2.5413,2.56778,2.52,2.54255,360355
1636174800000,2.54255,2.64,2.54,2.56381,731581
1636178400000,2.56381,2.63623,2.5583,2.59811,674947
1636182000000,2.59801,2.60001,2.545,2.57485,705051
1636185600000,2.57098,2.75,2.55369,2.58787,3122552
1636189200000,2.58787,2.64631,2.585,2.60012,1145391
1636192800000,2.60011,2.83468,2.60011,2.76273,2578819
1636196400000,2.76368,2.76825,2.57359,2.61,2487725
1636200000000,2.61,2.62198,2.541,2.55229,1303852
1636203600000,2.55231,2.62721,2.51727,2.56453,1055484
1636207200000,2.56647,2.5899,2.54,2.555,513214
1636210800000,2.556,2.62903,2.54367,2.57207,990750
1636214400000,2.57207,2.6,2.53585,2.53982,685107
1636218000000,2.53982,2.54157,2.35442,2.45349,3024663
1636221600000,2.4525,2.45659,2.178,2.28137,3433625
1636225200000,2.2813,2.29741,2.22579,2.2813,1161937
1636228800000,2.28179,2.33368,2.25564,2.2628,1058609
