date,open,high,low,close,volume
1631152800000,3,14.5,3,14.276,6548015.32
1631156400000,14.289,14.849,12.803,13.499,3158433.91
1631160000000,13.499,14.099,12.264,12.344,1481900.7
1631163600000,12.342,13.345,12.156,12.592,1194686.86
1631167200000,12.584,12.779,11.514,11.749,1019990.9
1631170800000,11.75,12.4,11.302,11.939,1337256.69
1631174400000,11.949,13.8,11.805,12.761,2179665
1631178000000,12.769,13.949,12.443,12.972,1495704.91
1631181600000,12.964,13.341,12.5,13.142,890577.38
1631185200000,13.147,16.1,13.01,16.082,3503090.66
1631188800000,16.091,16.435,13.919,14.804,3711636.78
1631192400000,14.802,15.487,13.71,14.142,1793799.95
1631196000000,14.146,15.027,13.651,14.352,1400728.84
1631199600000,14.352,15.97,13.897,15.798,2193401.79
1631203200000,15.797,16.182,14.684,15.135,1824229.98
1631206800000,15.126,15.126,14.221,14.57,828483.7
1631210400000,14.569,14.831,13.7,13.985,825474.04
1631214000000,13.984,13.985,13.051,13.171,829423.67
1631217600000,13.17,13.497,12.704,12.74,537894.32
1631221200000,12.74,13.302,12.731,13.284,519815.15
1631224800000,13.284,13.317,12.543,12.688,529428.29
1631228400000,12.679,13.368,12.675,12.971,642402.12
1631232000000,12.992,14.5,12.932,14.195,1134541.27
1631235600000,14.186,14.197,13.551,13.638,631229.52
1631239200000,13.638,13.65,13.126,13.505,447427.11
1631242800000,13.505,13.518,12.62,12.803,756164.34
1631246400000,12.805,13.7,12.804,13.463,586532.65
1631250000000,13.459,13.483,12.755,12.888,365279.84
1631253600000,12.907,13.091,12.325,12.431,669089.84
1631257200000,12.431,12.58,11.468,12.088,1540977.65
1631260800000,12.084,12.35,11.655,11.932,693245.92
1631264400000,11.933,12.36,11.8,11.996,446304.14
1631268000000,11.996,12.121,11.118,11.801,902944.09
1631271600000,11.801,11.833,11.14,11.427,451680.31
1631275200000,11.427,11.67,10.808,10.932,901174.85
1631278800000,10.931,11.189,10.431,10.569,1011874.18
1631282400000,10.562,10.72,9.821,10.195,1723291.24
1631286000000,10.206,11.33,10.184,11.129,1532382.81
1631289600000,11.135,11.806,10.865,11.489,1471960.95
1631293200000,11.502,11.578,11.113,11.331,413178.23
1631296800000,11.341,11.759,11.15,11.211,297352.31
1631300400000,11.211,11.25,10.597,10.966,451581.94
1631304000000,10.963,11.33,10.233,10.37,455893.83
1631307600000,10.356,10.711,10.002,10.37,718972.57
1631311200000,10.352,10.672,10.01,10.242,456939.38
1631314800000,10.242,10.45,10.048,10.425,361721.54
1631318400000,10.425,11.614,10.424,11.314,928430.21
1631322000000,11.314,11.658,11,11.099,410318.94
1631325600000,11.099,11.391,10.8,10.969,310873.9
1631329200000,10.957,11.78,10.601,10.814,419991.82
1631332800000,10.814,11.6,10.8,11.419,665266.91
1631336400000,11.42,12.212,11.067,12.178,799090.79
1631340000000,12.17,12.759,11.812,12.575,920487.91
1631343600000,12.575,12.647,11.748,12.057,792548.53
1631347200000,12.056,12.25,11.759,11.888,411760.72
1631350800000,11.878,12.369,11.84,12.14,354001.51
1631354400000,12.134,12.292,11.816,12.059,327481.38
1631358000000,12.053,12.545,12.053,12.166,421950.74
1631361600000,12.166,12.332,11.353,11.398,769840.69
1631365200000,11.399,11.5,11.032,11.428,687371.12
1631368800000,11.427,11.55,10.919,11.177,477542.42
1631372400000,11.187,11.267,10.703,10.967,383205.5
1631376000000,10.974,11.289,10.745,11.286,320248.48
1631379600000,11.275,11.289,10.935,10.989,179245.78
1631383200000,10.987,11.123,10.882,11.005,125902.64
1631386800000,11.005,11.368,10.996,11.097,282631.8
1631390400000,11.11,11.35,10.414,11.074,577479.47
1631394000000,11.083,11.449,10.967,11.081,257895.33
1631397600000,11.092,11.224,10.777,10.923,246316.83
1631401200000,10.922,11.222,10.889,10.933,171529.01
1631404800000,10.929,11.11,10.692,11.11,275464.82
1631408400000,11.096,11.25,10.694,10.878,268928.33
1631412000000,10.878,11.543,10.772,11.37,472464.32
1631415600000,11.371,11.38,11.127,11.184,170302.05
1631419200000,11.18,11.38,10.979,11.182,299566.74
1631422800000,11.17,11.36,11.057,11.343,169685.66
1631426400000,11.351,11.352,10.821,10.917,239201.14
1631430000000,10.915,11.144,10.87,11.078,141114.21
1631433600000,11.078,11.428,10.949,11.228,452456.71
1631437200000,11.228,12.095,11.18,11.501,756064.22
1631440800000,11.502,11.99,11.502,11.77,365181.8
1631444400000,11.77,12.5,11.652,12.121,606528.16
1631448000000,12.126,12.691,12.058,12.301,689882.24
1631451600000,12.301,12.301,11.717,11.907,478719.27
1631455200000,11.906,12.055,11.544,11.799,597120.69
1631458800000,11.81,11.873,11.544,11.786,250088.51
1631462400000,11.792,12.242,11.626,12.102,466879.13
1631466000000,12.102,12.177,11.739,11.775,259492.43
1631469600000,11.771,11.881,11.489,11.532,170181.03
1631473200000,11.533,11.614,11.115,11.25,289400.87
1631476800000,11.25,11.421,10.837,10.874,240765.33
1631480400000,10.881,11.234,10.801,11.183,238035.18
1631484000000,11.19,11.339,11.05,11.257,139903.37
1631487600000,11.255,11.608,11.112,11.303,222121.46
1631491200000,11.293,11.484,10.721,10.751,467973.87
1631494800000,10.76,10.96,10.59,10.886,503715.94
1631498400000,10.886,11,10.435,10.599,512772.2
1631502000000,10.599,10.862,10.31,10.328,378277.73
1631505600000,10.327,10.542,10.1,10.349,499184.84
1631509200000,10.342,10.409,9.9,10.181,1223846.94
1631512800000,10.186,10.5,10.142,10.401,348908.3
1631516400000,10.402,10.466,9.905,10.211,601013.7
1631520000000,10.2,10.255,9.522,9.739,896417.64
1631523600000,9.735,10,9.7,9.795,301224.95
1631527200000,9.8,10.289,9.731,10.1,414450.3
1631530800000,10.1,10.365,9.73,10.302,326614.32
1631534400000,10.276,10.411,9.915,10.009,291545.39
1631538000000,10.005,10.583,9.928,10.213,614611.62
1631541600000,10.208,10.239,9.1,9.795,913551.86
1631545200000,9.781,10.201,9.77,9.861,352413.84
1631548800000,9.854,10.3,9.762,10.119,332904.69
1631552400000,10.126,10.418,10.065,10.2,191658.35
1631556000000,10.191,10.301,10.002,10.264,153196.26
1631559600000,10.254,10.389,10.179,10.239,104063.81
1631563200000,10.245,10.484,10.189,10.457,89189.64
1631566800000,10.478,10.519,10.129,10.37,143153.78
1631570400000,10.367,10.722,10.354,10.702,264926.81
1631574000000,10.702,10.793,10.378,10.4,196990.86
1631577600000,10.401,10.577,10.073,10.209,281365.58
1631581200000,10.215,10.327,10.12,10.207,93072.28
1631584800000,10.192,10.285,9.996,10.274,197665.25
1631588400000,10.269,10.431,10.218,10.367,163162.93
1631592000000,10.386,10.465,10.174,10.175,128652.11
1631595600000,10.186,10.268,10.067,10.142,185728.45
1631599200000,10.132,10.226,10.097,10.213,134822.1
1631602800000,10.213,10.389,10.2,10.337,212890
1631606400000,10.337,11.101,10.293,10.848,827098.48
1631610000000,10.859,11.25,10.601,10.786,598500.86
1631613600000,10.788,11.248,10.713,11.052,498727.6
1631617200000,11.055,11.059,10.701,10.828,286966.98
1631620800000,10.838,11.597,10.824,11.512,1134791.53
1631624400000,11.504,11.621,11.197,11.273,545759.87
1631628000000,11.274,11.514,11.03,11.283,411482.82
1631631600000,11.292,11.925,11.284,11.797,680360.53
1631635200000,11.798,12.2,11.5,11.589,704865
1631638800000,11.589,12.05,11.535,11.9,329183.61
1631642400000,11.891,11.911,11.177,11.258,444438.03
1631646000000,11.264,11.369,11.039,11.163,274567.06
1631649600000,11.164,11.37,11.12,11.287,86317.19
1631653200000,11.287,11.5,11,11.311,211944.1
1631656800000,11.311,11.493,11.191,11.409,132996.2
1631660400000,11.411,11.7,11.295,11.699,161360.7
1631664000000,11.687,11.98,11.423,11.903,391548.76
1631667600000,11.905,12.46,11.898,12.359,832858.9
1631671200000,12.357,12.497,11.81,11.841,657050.49
1631674800000,11.849,11.868,11.56,11.613,349992
1631678400000,11.605,11.943,11.437,11.472,300122.56
1631682000000,11.472,11.743,11.333,11.624,193943.12
1631685600000,11.626,11.837,11.5,11.629,251243.72
1631689200000,11.617,12.101,11.566,11.856,316940.29
1631692800000,11.85,12.254,11.823,12.097,455186.55
1631696400000,12.097,12.161,11.604,11.654,338511.05
1631700000000,11.658,12.237,11.654,12.095,431268.61
1631703600000,12.095,12.198,11.756,12.165,253976.04
1631707200000,12.157,12.176,11.68,11.82,250011.26
1631710800000,11.82,11.955,11.698,11.828,176564.76
1631714400000,11.828,11.9,11.547,11.63,238222.77
1631718000000,11.616,11.828,11.5,11.7,235868.43
1631721600000,11.694,11.733,11.4,11.517,170133.2
1631725200000,11.519,11.712,11.509,11.615,103135.1
1631728800000,11.615,11.644,11.17,11.373,150172.74
1631732400000,11.373,11.373,11.028,11.152,257505.14
1631736000000,11.146,11.396,11.112,11.256,101593.67
1631739600000,11.256,11.772,11.241,11.552,203305.1
1631743200000,11.552,11.673,11.442,11.463,72997.41
1631746800000,11.463,11.7,11.447,11.599,58291.66
1631750400000,11.605,12.1,11.584,11.685,395004.4
1631754000000,11.701,12.13,11.663,11.912,172388.62
1631757600000,11.911,13.569,11.894,13.189,1602862.05
1631761200000,13.19,14,12.836,13.553,1513275.98
1631764800000,13.559,14,13.276,13.465,682528.3
1631768400000,13.455,13.651,13.135,13.238,446279.55
1631772000000,13.231,13.743,13.209,13.552,329294.34
1631775600000,13.55,13.863,13.312,13.626,553478.6
1631779200000,13.626,13.64,13.23,13.409,271339.46
1631782800000,13.391,14.687,13.348,14.058,1736552.29
1631786400000,14.058,14.758,13.66,14.315,1228520.4
1631790000000,14.321,14.9,13.993,14.86,890944.74
1631793600000,14.835,15.12,14.481,14.83,1145008.51
1631797200000,14.829,15.247,14.397,14.58,1581646.8
1631800800000,14.59,15.388,14.161,15.325,1652197.12
1631804400000,15.325,16.54,15.058,16.306,3088973.26
1631808000000,16.314,16.99,15.936,15.989,2240560.24
1631811600000,15.991,16.327,15.58,15.89,886572.82
1631815200000,15.881,16.275,15.675,16.063,422189.43
1631818800000,16.042,16.321,15.675,16,357427.08
1631822400000,15.991,16.01,14.77,15.058,578283.16
1631826000000,15.043,15.548,14.928,15.513,342278.71
1631829600000,15.532,15.539,14.685,14.913,445211.6
1631833200000,14.91,15.5,14.879,15.387,301704.26
1631836800000,15.386,16.9,14.905,16.69,1235714.47
1631840400000,16.68,18,16.431,17.45,1951371.82
1631844000000,17.45,17.5,16.701,16.869,735236.16
1631847600000,16.886,16.907,16.44,16.744,677883.64
1631851200000,16.744,16.879,16.142,16.607,468578.9
1631854800000,16.623,17.144,16.271,16.771,557146.76
1631858400000,16.767,17.374,16.601,16.753,760384.61
1631862000000,16.755,16.904,15.832,16.062,669788.45
1631865600000,16.041,16.353,15.71,16.12,480737.07
1631869200000,16.114,16.807,15.687,16.631,632557.86
1631872800000,16.64,17.226,15.43,15.837,1369874.88
1631876400000,15.824,16.63,15.768,16.195,797490.87
1631880000000,16.183,18.215,15.991,17.919,2317182.91
1631883600000,17.905,17.933,17.2,17.413,920603.47
1631887200000,17.409,18.5,17.3,17.972,1022596.47
1631890800000,17.975,18.094,16.315,16.47,1888169.35
1631894400000,16.468,16.603,15.936,16.173,974226.76
1631898000000,16.179,16.349,15.401,15.565,798926.08
