date,open,high,low,close,volume
1651752000000,1.5,200,1.5,15.043,14145230.405
1651755600000,15.04,16.971,13.941,15.591,6640686.814
1651759200000,15.59,17.445,15.2,16.017,5330751.613
1651762800000,16.017,16.226,13.75,14.406,3829601.91
1651766400000,14.418,15.3,14.072,15.003,1949401.887
1651770000000,15.003,15.27,14.6,15.115,1029034.672
1651773600000,15.113,15.27,14.501,14.938,934646.016
1651777200000,14.939,16,14.673,15.615,1527363.51
1651780800000,15.615,17.551,15.5,17.317,1890590.632
1651784400000,17.323,17.423,15.608,16.017,1926206.733
1651788000000,16.022,16.713,15.675,16.546,1060732.173
1651791600000,16.546,17.766,16.108,17.38,2217889.202
1651795200000,17.384,18.349,17.146,17.933,2824017.375
1651798800000,17.932,18.44,16.438,16.846,1985006.761
1651802400000,16.846,17.67,16.756,17.441,1037515.111
1651806000000,17.431,17.58,15.543,15.954,1792663.229
1651809600000,15.961,16.071,14.285,15.072,2025369.23
1651813200000,15.08,15.47,14.694,15.202,951041.003
1651816800000,15.203,15.642,15.062,15.131,719381.603
1651820400000,15.12,15.427,14.26,15.006,1179983.034
1651824000000,15.005,15.398,14.783,14.95,766993.483
1651827600000,14.95,16.14,14.893,15.981,1395419.23
1651831200000,15.982,16.5,15.3,15.509,1953846.505
1651834800000,15.497,15.723,15.042,15.544,1052171.151
1651838400000,15.544,15.55,14.21,14.614,1930213.254
1651842000000,14.621,14.97,13.952,14.568,1029184.695
1651845600000,14.561,15.088,14.538,14.98,748664.337
1651849200000,14.981,15.237,14.616,14.834,853125.729
1651852800000,14.84,15.034,14.675,14.997,568040.924
1651856400000,14.999,15.004,14.19,14.299,572821.533
1651860000000,14.299,14.464,14.175,14.285,347022.463
1651863600000,14.29,14.334,13.701,13.711,757006.979
1651867200000,13.711,13.891,12.543,12.78,1521845.465
1651870800000,12.781,12.901,12.228,12.665,1263734.002
1651874400000,12.665,12.789,12.388,12.451,536405.767
1651878000000,12.444,13.366,12.442,13.1,806656.37
1651881600000,13.089,13.381,12.78,13.021,721001.289
1651885200000,13.028,13.585,12.94,13.552,645714.891
1651888800000,13.565,13.684,13.07,13.16,527408.197
