date,open,high,low,close,volume
1646827200000,0.01,0.19,0.01,0.1525,791699142.7
1646830800000,0.15246,0.17359,0.14625,0.15722,289307438.1
1646834400000,0.1572,0.16109,0.1465,0.14878,95578004.6
1646838000000,0.14879,0.1515,0.13333,0.14399,127611288
1646841600000,0.14384,0.1492,0.13042,0.13162,81338617.9
1646845200000,0.13201,0.135,0.12617,0.13083,68146007.5
1646848800000,0.13088,0.143,0.13,0.13731,63173152.2
1646852400000,0.13732,0.1445,0.13395,0.13611,47751424.5
1646856000000,0.1361,0.14117,0.131,0.13549,31996045
1646859600000,0.1355,0.1355,0.125,0.12768,25716995.8
1646863200000,0.12768,0.134,0.12768,0.1302,16490720.9
1646866800000,0.13037,0.1405,0.12949,0.13262,32046949.8
1646870400000,0.13308,0.1348,0.12951,0.13121,18552098.1
1646874000000,0.13121,0.13913,0.131,0.13745,25934654.8
1646877600000,0.13725,0.145,0.13641,0.13898,42000310.1
1646881200000,0.13897,0.13898,0.1292,0.1303,25574514.4
1646884800000,0.13026,0.13412,0.12765,0.12981,20957625.2
1646888400000,0.12962,0.13871,0.12851,0.134,30990948.7
1646892000000,0.13394,0.139,0.131,0.13732,26159326.3
1646895600000,0.13731,0.1389,0.13222,0.13344,13672118
1646899200000,0.13344,0.13361,0.1288,0.13252,20425655.9
1646902800000,0.13252,0.14375,0.13252,0.1412,47967711.1
1646906400000,0.14097,0.14217,0.13255,0.13553,27727309.2
1646910000000,0.13543,0.13946,0.13322,0.13748,18317923.2
1646913600000,0.13739,0.138,0.1295,0.13227,34143068.2
1646917200000,0.13227,0.13329,0.11914,0.12357,39946350.7
1646920800000,0.12344,0.12361,0.1128,0.11538,33036150.4
1646924400000,0.11538,0.12373,0.1118,0.1118,25613883.3
1646928000000,0.11219,0.119,0.111,0.116,19949171.4
1646931600000,0.11617,0.11621,0.11154,0.1118,7760657
1646935200000,0.1118,0.1125,0.11,0.11078,7902720.3
1646938800000,0.11064,0.11792,0.11005,0.1137,11564677.1
1646942400000,0.11382,0.11426,0.112,0.11299,2411911.7
1646946000000,0.11299,0.1161,0.11297,0.11404,3877674.9
1646949600000,0.11425,0.11793,0.1122,0.11431,6213199.9
1646953200000,0.11438,0.11782,0.11357,0.11677,5296190.1
1646956800000,0.11677,0.11765,0.11001,0.11146,7023810.4
1646960400000,0.11146,0.11278,0.10516,0.10592,8855996.7
1646964000000,0.106,0.10611,0.10006,0.1028,19544405.2
1646967600000,0.103,0.10613,0.1025,0.10439,5711983.4
1646971200000,0.10448,0.1058,0.10284,0.10304,3394983.7
1646974800000,0.10306,0.104,0.10056,0.10072,6740456.8
1646978400000,0.1007,0.11453,0.10052,0.11093,23515991.9
1646982000000,0.11093,0.115,0.10937,0.11099,12540617.6
1646985600000,0.11098,0.11357,0.11037,0.11218,5092634.2
1646989200000,0.11217,0.11294,0.10725,0.10778,7578607
1646992800000,0.10785,0.10906,0.10584,0.106,6890116
1646996400000,0.10599,0.11256,0.105,0.10974,13545426.4
1647000000000,0.10978,0.12637,0.1078,0.12141,59111880.3
1647003600000,0.1214,0.12987,0.11903,0.1254,37309565.5
1647007200000,0.12545,0.13792,0.1202,0.13274,52268803.2
1647010800000,0.13274,0.146,0.12659,0.14335,67307529.7
1647014400000,0.14313,0.1588,0.13582,0.14646,134285577
1647018000000,0.1465,0.15065,0.13518,0.13661,55609855.3
1647021600000,0.13661,0.148,0.1365,0.14015,31857735.9
1647025200000,0.13976,0.14137,0.13256,0.13495,15660842.5
1647028800000,0.1346,0.148,0.13459,0.14399,26715355.8
1647032400000,0.14398,0.14728,0.13916,0.14205,15090591.5
1647036000000,0.14205,0.15,0.14101,0.14422,18310446.8
1647039600000,0.1442,0.166,0.14005,0.15958,61263933.6
1647043200000,0.16003,0.185,0.15562,0.17394,123841047.8
1647046800000,0.17394,0.17566,0.16311,0.1634,43114019.4
1647050400000,0.16343,0.21,0.16311,0.20768,97331233.9
1647054000000,0.2076,0.20768,0.1785,0.18566,114384053.9
1647057600000,0.18593,0.1939,0.18,0.18978,50571192.5
1647061200000,0.18959,0.1896,0.17633,0.1825,39560964.7
1647064800000,0.1825,0.24739,0.18101,0.24022,208434334.3
1647068400000,0.24022,0.2929,0.23,0.28534,254850641.8
1647072000000,0.28562,0.308,0.247,0.24801,307432765.4
1647075600000,0.24801,0.261,0.2385,0.25963,153749438.6
1647079200000,0.25958,0.26056,0.23378,0.24379,84235927.1
1647082800000,0.2437,0.26685,0.2386,0.26299,85674265.2
1647086400000,0.26294,0.26299,0.23078,0.23082,82706936.4
1647090000000,0.23095,0.23986,0.22422,0.22835,64700564.2
1647093600000,0.22797,0.248,0.226,0.24194,75048832.6
1647097200000,0.24195,0.245,0.2214,0.22556,60432215.1
1647100800000,0.22552,0.24363,0.2242,0.23816,50525603.4
1647104400000,0.23832,0.2864,0.238,0.2707,122076567.7
1647108000000,0.27061,0.297,0.26302,0.27999,194323163.9
1647111600000,0.27999,0.2817,0.25365,0.26047,84232308
1647115200000,0.26047,0.26399,0.24695,0.25391,36651448.4
1647118800000,0.25391,0.26778,0.25057,0.26047,32010400.4
1647122400000,0.26047,0.285,0.26002,0.2814,66824950.5
1647126000000,0.28199,0.31232,0.27262,0.28472,167912479.6
1647129600000,0.28499,0.296,0.25273,0.25812,99744255.8
1647133200000,0.25812,0.28182,0.25392,0.27197,56566038.8
1647136800000,0.27197,0.284,0.25918,0.26291,44890820.3
1647140400000,0.26321,0.278,0.25634,0.2719,35674441.3
1647144000000,0.27205,0.28,0.26259,0.27397,28639227.9
1647147600000,0.27419,0.325,0.27346,0.32063,149237857.8
1647151200000,0.32039,0.328,0.29266,0.30059,103423400.3
1647154800000,0.30058,0.30746,0.28161,0.28553,53367480.7
1647158400000,0.28555,0.294,0.27396,0.29295,60867581.8
1647162000000,0.29295,0.31049,0.28445,0.30001,77006218.5
1647165600000,0.30002,0.32,0.2952,0.30198,70297919.2
1647169200000,0.30219,0.322,0.288,0.30585,85406176.2
1647172800000,0.30583,0.3425,0.29696,0.34242,133661390.4
1647176400000,0.34226,0.35,0.32,0.33303,131314745.1
1647180000000,0.33319,0.42852,0.3265,0.41664,283005443.3
1647183600000,0.41664,0.43699,0.38757,0.42749,225528593.4
1647187200000,0.42749,0.441,0.40772,0.43362,141439296.4
1647190800000,0.43341,0.436,0.38705,0.39229,91684772.7
1647194400000,0.39266,0.42,0.38892,0.39706,60268229.6
1647198000000,0.39706,0.43315,0.397,0.43,55738812.9
1647201600000,0.4303,0.433,0.415,0.42495,39303598.8
1647205200000,0.42494,0.431,0.41001,0.42958,34568449.9
1647208800000,0.4296,0.4334,0.38118,0.392,46614055.5
1647212400000,0.392,0.419,0.362,0.39885,96309675.8
1647216000000,0.39878,0.41,0.378,0.405,45207587.6
1647219600000,0.40496,0.45,0.4,0.44324,87718922.2
1647223200000,0.44097,0.44364,0.38938,0.4102,92992920
1647226800000,0.41024,0.41511,0.38888,0.39797,39392972.2
1647230400000,0.39795,0.41011,0.371,0.39545,60366846
1647234000000,0.39533,0.403,0.375,0.38146,27849157.4
1647237600000,0.38146,0.38147,0.34217,0.35512,77125977.5
1647241200000,0.35512,0.372,0.343,0.35988,67761958
1647244800000,0.35962,0.36719,0.34677,0.3496,40784385.5
1647248400000,0.34928,0.37727,0.343,0.37,46740975.1
1647252000000,0.37001,0.40798,0.36989,0.38734,94462241.6
1647255600000,0.38734,0.39834,0.3756,0.38013,36907666.7
1647259200000,0.38,0.388,0.35693,0.36277,40597099.8
1647262800000,0.36262,0.3725,0.35128,0.36498,40903620
1647266400000,0.3644,0.385,0.35368,0.36053,51452183.4
1647270000000,0.36054,0.36543,0.3475,0.35124,32183864.9
1647273600000,0.3512,0.36054,0.34267,0.3574,25090635
1647277200000,0.35751,0.35847,0.345,0.3565,14598636
1647280800000,0.35637,0.363,0.349,0.34981,14811765.4
1647284400000,0.34981,0.35559,0.348,0.34801,7928405.4
1647288000000,0.34801,0.35911,0.348,0.3584,12888248.1
1647291600000,0.35839,0.3657,0.34995,0.35018,14344781
1647295200000,0.35047,0.35866,0.35,0.35344,7276807.3
1647298800000,0.3531,0.36556,0.35301,0.35948,13259495.1
1647302400000,0.35944,0.35949,0.351,0.35341,8539753.9
1647306000000,0.35348,0.3555,0.32002,0.32463,39966543.1
1647309600000,0.32451,0.32872,0.3052,0.31379,39696406
1647313200000,0.31377,0.33,0.3053,0.3202,29446883.8
1647316800000,0.32013,0.33303,0.315,0.31782,23374215.3
1647320400000,0.31782,0.32073,0.30775,0.31033,16169633.5
1647324000000,0.31048,0.34,0.30781,0.32838,33137866.7
1647327600000,0.32853,0.34549,0.32597,0.3298,36684987.9
1647331200000,0.32971,0.3305,0.31337,0.31906,27571110.7
1647334800000,0.31918,0.32199,0.29502,0.29603,34167533.7
1647338400000,0.29603,0.30029,0.28685,0.29122,40959380.4
1647342000000,0.2911,0.2971,0.28343,0.28571,19520648
1647345600000,0.28541,0.29473,0.28343,0.29,19308846.7
1647349200000,0.29018,0.2923,0.285,0.28605,17115350
1647352800000,0.28589,0.29198,0.27791,0.28274,26645092.7
1647356400000,0.28274,0.30414,0.278,0.30174,51608221.2
1647360000000,0.30172,0.34,0.30147,0.3275,78741522
1647363600000,0.32761,0.4,0.32752,0.36962,158483015.6
1647367200000,0.36939,0.38067,0.34557,0.34891,55554059.6
1647370800000,0.34895,0.34922,0.3331,0.3405,37629816.4
1647374400000,0.34035,0.36588,0.33865,0.34603,37208494.2
1647378000000,0.34603,0.34636,0.32558,0.328,20396063.1
1647381600000,0.32829,0.335,0.31547,0.31819,15855470.8
1647385200000,0.31828,0.34333,0.3178,0.33128,28499470.8
1647388800000,0.33127,0.33967,0.31712,0.32673,15241128.3
1647392400000,0.32673,0.365,0.32069,0.35677,39067029.7
1647396000000,0.35684,0.36605,0.33792,0.36416,36472124.7
1647399600000,0.36403,0.38,0.35,0.35274,47582890
1647403200000,0.35255,0.377,0.35,0.374,26686898
1647406800000,0.3741,0.40693,0.37317,0.40098,86879490.6
1647410400000,0.40085,0.415,0.388,0.39856,69410908.9
1647414000000,0.39847,0.481,0.39501,0.46858,162701599.3
1647417600000,0.46858,0.488,0.446,0.46072,101540776.9
1647421200000,0.46105,0.477,0.44199,0.47173,70200049.2
1647424800000,0.47176,0.5549,0.458,0.52938,192404175.1
1647428400000,0.52979,0.539,0.49565,0.50756,105553109.4
1647432000000,0.50753,0.56888,0.4921,0.53837,146735528.8
1647435600000,0.53837,0.545,0.51563,0.52534,71278261.2
1647439200000,0.52523,0.54,0.50232,0.5225,63884779.1
1647442800000,0.52267,0.52694,0.5055,0.50969,38407094
1647446400000,0.50991,0.51702,0.47227,0.48004,67098678.8
1647450000000,0.48004,0.51,0.479,0.50969,48783862.8
1647453600000,0.50969,0.51,0.48159,0.49553,32540610
1647457200000,0.49569,0.545,0.48839,0.53764,65472509.4
1647460800000,0.5378,0.53885,0.51999,0.52492,28470309.6
1647464400000,0.52462,0.5345,0.506,0.5306,29277917.6
1647468000000,0.53079,0.5523,0.53079,0.53668,47797584.5
1647471600000,0.53658,0.5555,0.5272,0.55492,30934874.6
1647475200000,0.55493,0.59,0.5385,0.58053,59175436
1647478800000,0.58054,0.64599,0.58007,0.62531,108094915.8
1647482400000,0.62515,0.69466,0.61331,0.66598,84146624.7
1647486000000,0.66598,0.71475,0.64347,0.6916,86236874.5
1647489600000,0.6916,0.72,0.65333,0.66418,67633711.7
1647493200000,0.66458,0.685,0.63641,0.64173,46502332
1647496800000,0.64161,0.65478,0.6252,0.65176,46672028.5
1647500400000,0.65183,0.65317,0.62004,0.64099,39426980.1
1647504000000,0.64098,0.69,0.63554,0.67048,68591087.6
1647507600000,0.67016,0.71,0.6685,0.67376,72523659.9
1647511200000,0.6738,0.6913,0.6385,0.65063,46178063
1647514800000,0.65114,0.67239,0.625,0.66316,43572964.1
1647518400000,0.66315,0.674,0.63333,0.64132,31066646.1
1647522000000,0.64133,0.67,0.637,0.665,30547320.9
1647525600000,0.665,0.703,0.645,0.65345,70939940.5
1647529200000,0.65345,0.6746,0.64296,0.67445,29530146.3
1647532800000,0.67453,0.69,0.65188,0.67164,41706388.2
1647536400000,0.6716,0.74,0.664,0.73179,94585264.1
1647540000000,0.7312,0.759,0.71179,0.75217,93168117.4
1647543600000,0.75239,0.77,0.725,0.76379,43346761.8
1647547200000,0.76399,0.77003,0.738,0.76074,34243859.7
1647550800000,0.76115,0.763,0.73255,0.75303,22114064.1
1647554400000,0.75302,0.8196,0.74204,0.81799,51500425.9
1647558000000,0.81781,0.8448,0.795,0.83862,72874660.1
1647561600000,0.83862,0.844,0.77655,0.78969,58156529.2
1647565200000,0.7897,0.809,0.75401,0.75991,47313455.5
1647568800000,0.75995,0.76555,0.72012,0.73245,48474466.5
1647572400000,0.73201,0.74825,0.72146,0.73575,34035339.6
1647576000000,0.73605,0.76282,0.7231,0.74121,27631973.1
1647579600000,0.74126,0.74243,0.68181,0.69475,59847724.6
1647583200000,0.69475,0.70697,0.666,0.68821,36785882.5
1647586800000,0.68821,0.72002,0.675,0.68258,51523347.4
1647590400000,0.68277,0.69499,0.655,0.66276,49647974.4
1647594000000,0.66274,0.69423,0.658,0.68554,31581734.3
1647597600000,0.68565,0.73238,0.674,0.72628,53142128.4
1647601200000,0.72628,0.77,0.71185,0.71512,72102509.5
1647604800000,0.71529,0.73,0.68657,0.70261,47442448.1
1647608400000,0.70204,0.71886,0.6866,0.708,23424252.1
1647612000000,0.70802,0.71153,0.69,0.70064,21194159.8
1647615600000,0.70063,0.765,0.68901,0.73998,54666401.4
1647619200000,0.73995,0.7598,0.71093,0.74919,32260579.8
1647622800000,0.74912,0.78888,0.74,0.75443,62293853.9
1647626400000,0.75443,0.78,0.73224,0.74255,29899964.6
1647630000000,0.74263,0.752,0.725,0.7264,20944677.9
1647633600000,0.72641,0.74643,0.70166,0.70773,20791946.1
1647637200000,0.70773,0.735,0.7,0.71577,17532852
1647640800000,0.7155,0.73,0.70559,0.70967,9961512.7
1647644400000,0.70939,0.724,0.69256,0.69968,14635347.2
1647648000000,0.6995,0.72407,0.67001,0.72316,31963979.6
1647651600000,0.72311,0.735,0.70456,0.72077,18281319.9
1647655200000,0.72077,0.72892,0.69605,0.71219,9370362.6
1647658800000,0.71218,0.722,0.705,0.70695,14072485.7
