date,open,high,low,close,volume
1612418400000,0.25,18.8264,0.25,4.9793,23319888.29
1612422000000,4.9913,5.2,3.8555,3.9761,4886545.14
1612425600000,3.9761,4.5,3.7,3.8526,2601005.58
1612429200000,3.8526,5.36,3.8512,5.2,3647828.79
1612432800000,5.2,5.2139,4.1366,4.3717,4143203.37
1612436400000,4.3715,4.5756,4.2406,4.4518,1857739.59
1612440000000,4.4481,4.4481,4.0073,4.1757,1524582.01
1612443600000,4.1757,4.2,3.9,3.9659,1109604.24
1612447200000,3.965,4.2,3.7109,3.9163,1820500
1612450800000,3.9163,4.2,3.8119,4.1309,1788028.03
1612454400000,4.1318,4.248,3.8,3.8059,1606129.94
1612458000000,3.805,3.92,3.785,3.8328,665825.74
1612461600000,3.8328,3.8715,3.78,3.8002,580871.79
1612465200000,3.8007,3.82,3.3211,3.423,1221451.19
1612468800000,3.423,3.546,3.1613,3.28,1276299.34
1612472400000,3.2765,3.3908,3.17,3.2945,1027872.76
1612476000000,3.295,3.3274,3.02,3.2776,1003408.12
1612479600000,3.2557,3.2557,3.02,3.0605,863454.77
1612483200000,3.0606,3.85,3.0524,3.7395,1905686.78
1612486800000,3.7395,3.7459,3.251,3.2989,1438532.97
1612490400000,3.2848,3.39,3.2,3.3867,558524.26
1612494000000,3.3721,3.5331,3.2495,3.319,763538.43
1612497600000,3.3041,3.491,3.2,3.315,562804.4
1612501200000,3.315,3.4636,3.3101,3.3226,449714.5
1612504800000,3.3211,3.4,3.21,3.3229,644955.52
1612508400000,3.3231,3.3299,3.2402,3.26,284331.58
1612512000000,3.263,3.3407,3.2401,3.301,347617.42
1612515600000,3.3015,3.4975,3.265,3.3943,671606.3
1612519200000,3.3943,3.42,3.2859,3.3124,421469.87
1612522800000,3.3075,3.3728,3.285,3.3221,446157.03
1612526400000,3.3221,3.4069,3.3008,3.3406,374039.41
1612530000000,3.3398,3.3501,3.2533,3.29,344045.96
1612533600000,3.2901,3.3,3.21,3.2619,354201.85
1612537200000,3.2616,3.31,3.225,3.242,341983.25
1612540800000,3.2421,3.4433,3.242,3.3404,624048.58
1612544400000,3.3407,3.8,3.3201,3.63,997722.74
1612548000000,3.6339,3.9092,3.6266,3.6333,755867.8
1612551600000,3.6334,3.801,3.5,3.7542,308090.95
1612555200000,3.7538,3.9,3.6206,3.849,298116.46
1612558800000,3.8489,4.4785,3.845,4.23,1936267.38
1612562400000,4.23,4.5517,4.1,4.366,1116300.29
1612566000000,4.3507,5.9362,4.35,5.4999,4743580.31
1612569600000,5.5,5.5572,4.688,4.8015,3212303.08
1612573200000,4.805,4.8664,4.1103,4.3759,1827522.15
1612576800000,4.376,5.2596,4.3756,4.8051,1781389.19
1612580400000,4.8231,5.14,4.6,4.73,708805.93
1612584000000,4.7215,4.8,4.446,4.5328,572733
1612587600000,4.5311,4.8897,4.3889,4.7057,472670.36
1612591200000,4.7057,5.36,4.6255,4.9419,1571925.18
1612594800000,4.9419,5.2,4.85,5.0999,997531.68
1612598400000,5.1,5.1845,4.9,4.944,593022
1612602000000,4.9306,5.54,4.82,5.21,1487004.43
1612605600000,5.2169,5.8249,5.1104,5.684,1811979.28
1612609200000,5.6867,7.0889,5.6771,6.5701,6166765.47
1612612800000,6.5779,6.89,6.045,6.1615,3532462.17
1612616400000,6.1729,8.6,6.1466,8.1,6175721.73
1612620000000,8.1063,9.5001,7.8158,8.0279,9827793.94
1612623600000,8.0336,8.5389,7.2061,7.7808,5457914.75
1612627200000,7.8371,8.8,7.7865,7.929,4183228.82
1612630800000,7.9224,8.4799,7.8458,8.2,2073343.2
1612634400000,8.176,8.235,7.5,7.7526,1771760.74
1612638000000,7.7496,7.87,6.6529,7.1326,2594842.94
1612641600000,7.1369,7.9466,7.1072,7.5593,2443955.26
1612645200000,7.5604,8.2889,7.5,7.5624,1833639.28
1612648800000,7.5624,7.95,7.2164,7.3197,1269388.63
1612652400000,7.32,7.6435,6.9526,7.3618,1049572.16
1612656000000,7.3788,8.09,7.361,8.09,1355671.58
1612659600000,8.081,8.1,7.5,7.727,941557.45
1612663200000,7.7735,7.7999,7.1413,7.4499,685972.8
1612666800000,7.4499,7.9016,7.4,7.7289,682043.55
1612670400000,7.7293,8.91,7.7,8.137,2700737.4
1612674000000,8.1379,8.6,8.0392,8.3559,1339601.09
1612677600000,8.3274,8.5,7.9701,8.2006,728331.94
1612681200000,8.18,8.2436,7.91,8.0058,757890.67
1612684800000,8.0057,8.7402,8.0046,8.5386,1532866
1612688400000,8.5387,8.5476,8.1481,8.3782,1116398.04
1612692000000,8.3799,9.5,8.2103,9.0998,2213242.42
1612695600000,9.1017,9.6686,8.8962,8.9849,3382011
1612699200000,8.991,9.25,8.6,8.9442,2137349.36
1612702800000,8.9489,8.99,8.2239,8.5067,1929848.33
1612706400000,8.5234,8.5903,7.7449,7.9789,2007892.28
1612710000000,7.9789,8.1,7.3246,7.849,1838855.1
1612713600000,7.8488,7.8495,6.95,7.6496,1787833.59
1612717200000,7.6501,7.7499,7.0162,7.2351,828838.09
1612720800000,7.2466,7.8816,7.1,7.7107,1060801.29
1612724400000,7.7007,8.0959,7.6339,7.8617,1365551.06
1612728000000,7.8612,7.8958,7.5,7.7203,486080.76
1612731600000,7.721,7.7353,7.35,7.6515,442342.92
1612735200000,7.652,7.6962,7,7.2493,929950.52
1612738800000,7.2875,7.7437,7.05,7.52,770157.9
1612742400000,7.5212,7.5821,7.1055,7.1298,351864.71
1612746000000,7.129,7.6806,7.051,7.42,539939.03
1612749600000,7.422,7.65,7.261,7.4804,319297.52
1612753200000,7.4801,7.77,7.4444,7.6552,365045.62
1612756800000,7.6615,7.6814,7.4588,7.5621,312306.69
1612760400000,7.5621,8.1,7.5575,7.8646,571961.89
1612764000000,7.8855,8.5399,7.8,8.2639,775161.74
1612767600000,8.2505,8.48,8.0354,8.1295,514614.08
1612771200000,8.0983,8.289,7.942,8.1092,475701.6
1612774800000,8.1008,8.1744,7.4577,7.7212,1075739.28
1612778400000,7.7245,7.9246,7.5555,7.8891,405298.95
1612782000000,7.8717,7.9,7.55,7.7291,550740.05
1612785600000,7.7294,7.9689,7.551,7.6,619544.49
1612789200000,7.6,7.6625,7.0516,7.2012,675252.63
1612792800000,7.2015,7.5,7.18,7.4,722415.21
1612796400000,7.4,7.4319,7.15,7.1678,558339.06
1612800000000,7.1668,7.4732,7.1613,7.3301,562510.45
1612803600000,7.3301,7.4,7.2,7.2745,338888.59
1612807200000,7.262,7.4,7.167,7.1939,326945.23
1612810800000,7.1926,7.33,7.177,7.2823,249160
1612814400000,7.2818,7.4323,7.2229,7.3591,412648.44
1612818000000,7.3591,7.4,7,7.0657,521589.31
1612821600000,7.0657,7.2499,6.66,6.8523,1075820.8
1612825200000,6.8595,6.9118,6.343,6.4693,878844.98
1612828800000,6.4613,6.5721,6.0444,6.385,1296968.15
1612832400000,6.3921,7.29,6.37,6.7484,1112278.2
1612836000000,6.745,6.9469,6.457,6.9,620675.37
1612839600000,6.89,7.06,6.6,6.7739,425582.22
1612843200000,6.7629,6.92,6.5199,6.8884,358250.42
1612846800000,6.8884,6.8884,6.5019,6.6274,311893.66
1612850400000,6.6256,6.695,6.3937,6.4382,401650.14
1612854000000,6.4382,6.8835,6.24,6.5813,666829.46
1612857600000,6.581,6.8972,6.464,6.8109,518698.06
1612861200000,6.8121,6.8551,6.5488,6.6567,450042.45
