date,open,high,low,close,volume
1621922400000,8.118,11,8.118,9.42,947807.04
1621926000000,9.415,9.598,8.948,9.237,139877.56
1621929600000,9.239,9.268,8.587,8.6,122737.17
1621933200000,8.589,9.1,8.587,9.088,44213.14
1621936800000,9.081,9.1,8.006,8.19,121641.06
1621940400000,8.199,8.609,7.88,7.953,71492.22
1621944000000,7.951,8.285,7.75,7.916,73458.24
1621947600000,7.924,8.538,7.924,8.326,48491.82
1621951200000,8.318,8.5,8.184,8.3,38631.41
1621954800000,8.278,8.6,8.165,8.509,55616.41
1621958400000,8.514,9.284,8.032,8.127,144042.55
1621962000000,8.125,8.313,7.808,8.293,36156.08
1621965600000,8.266,8.393,7.959,8.116,21776.37
1621969200000,8.114,8.16,7.592,7.793,36347.93
1621972800000,7.792,7.945,7.715,7.851,19000.03
1621976400000,7.869,8.26,7.852,8.061,17570.13
1621980000000,8.079,8.277,7.91,8.18,20202.19
1621983600000,8.145,8.179,7.853,8.013,22385.09
1621987200000,8.043,8.189,7.903,8.15,13484.56
1621990800000,8.158,8.37,8.107,8.163,24689.84
1621994400000,8.213,8.758,8.028,8.508,31723.55
1621998000000,8.512,8.65,8.379,8.501,18961.13
1622001600000,8.501,8.52,8.29,8.389,14957.22
1622005200000,8.375,8.609,8.351,8.551,36992.82
1622008800000,8.551,8.938,8.421,8.717,46534.49
1622012400000,8.719,8.759,8.5,8.603,23699.18
1622016000000,8.6,8.62,8.213,8.455,34744
1622019600000,8.46,8.609,8.409,8.452,16907.61
1622023200000,8.446,8.481,8.093,8.23,26095.74
1622026800000,8.234,8.449,8.124,8.403,19599.11
1622030400000,8.425,8.539,8.36,8.434,28427.03
1622034000000,8.433,8.433,7.9,7.95,20422.03
1622037600000,7.944,8.225,7.932,8.153,11384.4
1622041200000,8.153,8.2,7.964,8.16,14378
1622044800000,8.143,8.5,7.771,7.858,133507.18
1622048400000,7.839,7.98,7.65,7.976,25755.42
1622052000000,7.979,8.05,7.798,8.034,11321.33
1622055600000,8.035,8.162,7.65,7.764,51023.33
1622059200000,7.764,7.935,7.691,7.913,20689
1622062800000,7.915,8.078,7.876,7.977,11168
1622066400000,7.977,8.131,7.91,8.097,8400.1
1622070000000,8.097,8.113,7.938,8.03,12982.4
1622073600000,8.023,8.072,7.723,7.826,13669.68
1622077200000,7.818,7.94,7.62,7.666,52045.85
1622080800000,7.616,7.775,7.561,7.747,20049.86
1622084400000,7.754,7.758,7.364,7.615,29905.85
1622088000000,7.622,7.73,7.447,7.538,8115.93
1622091600000,7.537,7.726,7.49,7.7,16078.07
1622095200000,7.688,7.709,7.579,7.677,8772.86
1622098800000,7.677,7.708,7.626,7.626,8304.19
1622102400000,7.655,7.853,7.524,7.8,10271.64
1622106000000,7.804,7.88,7.705,7.705,11489.42
1622109600000,7.737,8.179,7.722,7.899,22972.27
1622113200000,7.912,8.161,7.873,8.037,14873.2
1622116800000,8.009,8.128,7.798,7.908,23353.68
1622120400000,7.894,8.05,7.894,7.985,10956.91
1622124000000,7.986,8.16,7.953,8.006,21083.01
1622127600000,8.006,8.042,7.859,8.012,10377.17
1622131200000,8.026,8.5,7.9,8.061,43014.38
1622134800000,8.046,8.084,7.816,7.974,23702.95
1622138400000,7.976,8.119,7.947,8.059,6656.92
1622142000000,8.061,8.136,7.891,7.99,7566.46
1622145600000,8,8.062,7.877,7.909,3576.94
1622149200000,7.915,7.915,7.77,7.876,10438.44
1622152800000,7.874,7.88,7.626,7.68,12326.82
1622156400000,7.675,7.769,7.631,7.768,11245.71
1622160000000,7.736,7.796,7.521,7.545,18316.68
1622163600000,7.525,7.732,7.461,7.684,16791.15
1622167200000,7.69,7.998,7.69,7.979,9973.22
1622170800000,7.961,8.056,7.809,7.892,9478.77
1622174400000,7.89,7.893,7.571,7.607,7408.83
1622178000000,7.65,7.673,7.311,7.311,15537.2
1622181600000,7.372,7.393,6.889,6.9,98149.6
1622185200000,6.9,7.183,6.891,7.122,12498.72
1622188800000,7.122,7.271,6.862,6.947,8448.45
1622192400000,6.916,7,6.767,6.927,15463.94
1622196000000,6.9,7.162,6.852,7.017,9282.76
1622199600000,7.022,7.072,6.75,6.779,10006.3
1622203200000,6.781,7.201,6.781,7.189,11654.32
1622206800000,7.2,7.343,7.17,7.278,10643.28
1622210400000,7.25,7.266,6.75,7.038,15616.28
1622214000000,7.031,7.413,7.005,7.185,14763.9
1622217600000,7.154,7.252,6.894,6.983,12131.16
1622221200000,6.942,7.366,6.872,7.045,4948.74
1622224800000,7.042,7.306,7.042,7.2,11695.95
1622228400000,7.2,7.5,7.157,7.456,23800.55
1622232000000,7.47,7.488,7.168,7.212,3378.9
1622235600000,7.217,7.263,6.959,6.984,8775.4
1622239200000,6.984,7.335,6.915,7.145,11964.5
1622242800000,7.145,7.404,7.089,7.202,10645
1622246400000,7.202,7.5,7.183,7.381,6225.18
1622250000000,7.378,7.655,7.257,7.604,20663.49
1622253600000,7.579,7.625,7.416,7.418,11662.38
1622257200000,7.438,7.46,7.327,7.432,1359.32
1622260800000,7.433,7.433,7.222,7.259,3145.4
1622264400000,7.255,7.552,7.255,7.46,5343.3
1622268000000,7.473,7.523,7.36,7.36,4517.21
1622271600000,7.413,7.437,7.246,7.291,4392.65
1622275200000,7.257,7.27,7.056,7.056,6155.6
1622278800000,7.078,7.097,6.931,7.071,3951.88
1622282400000,7.071,7.113,6.963,7.113,1742.14
1622286000000,7.092,7.113,6.928,7.058,9826.79
1622289600000,7.045,7.058,6.944,6.985,2263.43
1622293200000,6.986,7.113,6.912,7.072,13172.58
1622296800000,7.067,7.163,6.917,7.005,18220.93
1622300400000,7.005,7.472,6.861,7.014,38373.62
1622304000000,7.012,7.122,6.863,7.019,6267.35
1622307600000,7.001,7.012,6.864,6.93,5050.67
1622311200000,6.898,6.952,6.863,6.921,3829.93
1622314800000,6.892,6.92,6.866,6.908,2649.45
1622318400000,6.908,6.935,6.867,6.894,922.74
1622322000000,6.894,6.933,6.85,6.92,1839.05
1622325600000,6.93,7.014,6.869,6.999,2088.2
1622329200000,6.998,7.166,6.942,6.973,1138.38
1622332800000,6.94,6.952,6.75,6.785,3352.12
1622336400000,6.791,6.86,6.75,6.771,3825.66
1622340000000,6.805,6.974,6.775,6.969,1301.58
1622343600000,6.969,7.024,6.964,6.991,1198.05
1622347200000,7.01,7.079,6.963,7.034,2849.99
1622350800000,7.023,7.14,7.014,7.106,6585.77
1622354400000,7.106,7.213,7.075,7.127,6005.14
1622358000000,7.135,7.183,7.067,7.108,2941.84
1622361600000,7.142,7.183,7.038,7.041,3503.75
1622365200000,7.038,7.095,7.011,7.086,929.58
1622368800000,7.106,7.145,7.061,7.071,1388.56
1622372400000,7.065,7.129,6.977,7.081,10822.96
1622376000000,7.098,7.116,6.839,6.994,6247.89
1622379600000,7.002,7.029,6.908,6.926,2763.59
1622383200000,6.919,6.919,6.75,6.843,13594.7
1622386800000,6.843,7.121,6.821,7.084,13029.45
1622390400000,7.092,7.199,6.828,7.051,21002.67
1622394000000,7.065,7.099,7.05,7.053,1411.98
1622397600000,7.055,7.118,7.005,7.091,3986.61
1622401200000,7.089,7.111,7.039,7.072,2659.73
1622404800000,7.06,7.08,6.827,6.976,15059.01
1622408400000,6.97,6.989,6.949,6.969,1333.64
1622412000000,6.974,7.138,6.922,6.991,7240.11
1622415600000,6.983,7.039,6.97,6.992,1612.04
1622419200000,6.995,7,6.833,6.872,6569.36
1622422800000,6.872,6.89,6.7,6.717,15862.15
1622426400000,6.693,6.813,6.631,6.718,5300.45
1622430000000,6.721,6.907,6.61,6.818,17255.04
1622433600000,6.817,6.831,6.593,6.718,13913.7
1622437200000,6.711,6.74,6.582,6.648,18558.36
1622440800000,6.636,6.758,6.6,6.74,11135.23
1622444400000,6.728,6.888,6.706,6.838,5604.29
1622448000000,6.838,6.89,6.804,6.855,3861.77
1622451600000,6.885,6.963,6.829,6.874,5226.96
1622455200000,6.88,7.067,6.861,6.981,19506.9
1622458800000,6.984,7.106,6.858,6.957,27686.01
1622462400000,6.967,7.06,6.841,6.872,7336.04
1622466000000,6.881,6.919,6.805,6.822,3047.14
1622469600000,6.814,6.975,6.777,6.975,4600.01
1622473200000,6.974,7.018,6.928,6.958,3797.86
1622476800000,6.988,7.122,6.915,6.92,10329.62
1622480400000,6.93,6.93,6.81,6.887,4941.57
1622484000000,6.887,7.099,6.861,7.03,13933.51
1622487600000,7.007,7.041,6.934,7.02,12443.39
1622491200000,7.028,7.038,6.931,6.946,5865.45
1622494800000,6.947,6.953,6.818,6.905,26061.71
1622498400000,6.925,7.039,6.9,6.941,7412.58
1622502000000,6.938,7.036,6.905,7,6150.38
1622505600000,6.969,7.08,6.968,7.027,12048.56
1622509200000,7.028,7.06,6.875,6.925,4293.02
1622512800000,6.916,6.974,6.83,6.958,5032.25
1622516400000,6.944,7.02,6.931,6.957,7629.77
1622520000000,6.957,6.999,6.931,6.99,2908.83
1622523600000,6.991,7.095,6.932,7.05,6920.57
1622527200000,7.05,7.099,6.871,7.002,9057.69
1622530800000,6.983,7.006,6.923,6.975,2021.38
1622534400000,6.999,7.038,6.781,6.781,11182.19
1622538000000,6.834,7.278,6.696,6.78,130916.47
1622541600000,6.762,6.848,6.666,6.741,41528.12
1622545200000,6.741,6.834,6.737,6.826,3957.93
1622548800000,6.803,6.82,6.696,6.732,2343.07
1622552400000,6.736,6.876,6.582,6.736,20831.8
1622556000000,6.754,6.79,6.591,6.675,45315.42
1622559600000,6.669,6.723,6.615,6.723,10350.29
1622563200000,6.723,7.03,6.593,6.619,25502.69
1622566800000,6.605,6.665,6.55,6.664,10006.36
1622570400000,6.664,6.689,6.618,6.689,2808.55
1622574000000,6.666,6.7,6.5,6.546,28816.53
1622577600000,6.546,6.62,6.493,6.57,22241.8
1622581200000,6.574,6.708,6.56,6.611,5695.92
1622584800000,6.637,6.659,6.589,6.623,915.51
1622588400000,6.639,6.755,6.603,6.692,4972.51
1622592000000,6.69,6.7,6.54,6.54,5209.1
1622595600000,6.569,6.706,6.55,6.688,4416.38
1622599200000,6.69,6.705,6.616,6.623,27824.23
1622602800000,6.627,6.68,6.482,6.505,38338.37
1622606400000,6.505,6.541,6.494,6.533,31484.79
1622610000000,6.534,6.55,6.517,6.519,13261.72
1622613600000,6.539,6.556,6.515,6.52,18757.1
1622617200000,6.529,6.556,6.515,6.547,19178.52
1622620800000,6.543,6.637,6.516,6.62,39955.78
1622624400000,6.62,6.636,6.537,6.557,31607.91
1622628000000,6.551,6.62,6.509,6.526,34671.82
1622631600000,6.521,6.537,6.48,6.507,23086.57
1622635200000,6.507,6.576,6.507,6.555,25513.01
1622638800000,6.555,6.577,6.414,6.534,85413.08
1622642400000,6.532,6.65,6.488,6.605,52750
1622646000000,6.605,6.689,6.568,6.685,50484.54
1622649600000,6.685,6.734,6.445,6.518,66937.09
1622653200000,6.518,6.627,6.504,6.62,28391.85
1622656800000,6.612,6.649,6.611,6.611,15529.12
1622660400000,6.611,6.624,6.51,6.521,17534.99
1622664000000,6.521,6.543,6.46,6.47,16202.7
1622667600000,6.461,6.511,6.422,6.445,26111.3
1622671200000,6.445,6.447,6.215,6.288,84142.72
1622674800000,6.28,6.39,6.2,6.267,89388.68
1622678400000,6.267,6.439,6.221,6.407,38904.59
1622682000000,6.4,6.45,6.315,6.329,15009.32
1622685600000,6.327,6.36,6.285,6.34,12392.14
1622689200000,6.332,6.431,6.285,6.397,14775.52
1622692800000,6.4,6.494,6.387,6.449,19148.93
1622696400000,6.449,6.58,6.425,6.493,33423.48
1622700000000,6.492,6.573,6.454,6.554,29515.1
1622703600000,6.557,6.59,6.464,6.577,21092.87
1622707200000,6.57,6.667,6.545,6.642,21712.46
1622710800000,6.641,6.723,6.63,6.711,27723.18
1622714400000,6.702,6.751,6.659,6.681,37945.73
1622718000000,6.67,6.689,6.504,6.562,27242.03
1622721600000,6.555,6.604,6.506,6.592,19064.37
1622725200000,6.58,6.7,6.451,6.451,28109.17
1622728800000,6.463,6.478,6.36,6.43,29940.5
1622732400000,6.438,6.532,6.4,6.532,15001.16
1622736000000,6.519,6.7,6.362,6.7,38089.53
1622739600000,6.7,6.9,6.68,6.725,43732.46
1622743200000,6.724,6.737,6.66,6.669,7488.18
1622746800000,6.661,6.74,6.649,6.709,5534.35
1622750400000,6.711,6.897,6.711,6.818,9184.06
1622754000000,6.836,6.863,6.727,6.829,12052.19
1622757600000,6.821,6.971,6.814,6.95,21452.5
1622761200000,6.957,7.213,6.838,6.889,61438.59
1622764800000,6.906,7.009,6.811,6.883,41058.39
1622768400000,6.879,6.96,6.589,6.616,45547.61
1622772000000,6.613,6.707,6.514,6.681,27956.1
1622775600000,6.684,6.698,6.548,6.649,24888
1622779200000,6.648,6.685,6.481,6.531,34809.84
1622782800000,6.546,6.585,6.23,6.342,82427.33
1622786400000,6.342,6.462,6.246,6.288,48416.98
1622790000000,6.299,6.304,6.123,6.26,50976.14
1622793600000,6.229,6.4,6.18,6.372,37923.54
1622797200000,6.357,6.44,6.282,6.44,22012.42
1622800800000,6.44,6.465,6.298,6.311,16124.9
1622804400000,6.298,6.337,6.184,6.249,10972.81
1622808000000,6.233,6.372,6.138,6.309,19087.97
1622811600000,6.309,6.359,6.192,6.276,12232.29
1622815200000,6.279,6.404,6.23,6.31,19447.34
1622818800000,6.319,6.698,6.315,6.691,42578.36
1622822400000,6.691,6.721,6.42,6.593,39164.3
1622826000000,6.591,6.644,6.48,6.492,8585.72
1622829600000,6.498,6.69,6.498,6.618,16588.5
1622833200000,6.619,6.622,6.504,6.523,4704.99
1622836800000,6.534,6.56,6.48,6.504,4871.16
1622840400000,6.497,6.662,6.486,6.654,12542.42
1622844000000,6.654,6.654,6.564,6.59,1722.12
1622847600000,6.589,6.597,6.458,6.508,6967.23
1622851200000,6.523,6.64,6.438,6.622,12191.55
1622854800000,6.611,6.665,6.521,6.665,12988.82
1622858400000,6.669,6.695,6.592,6.622,11757.73
1622862000000,6.62,6.637,6.552,6.582,5611.09
1622865600000,6.599,6.631,6.58,6.622,4460.53
1622869200000,6.628,6.629,6.587,6.611,4108.4
1622872800000,6.611,6.673,6.6,6.673,7690.03
1622876400000,6.666,6.699,6.613,6.629,9830.01
1622880000000,6.63,6.657,6.602,6.628,5577.07
1622883600000,6.641,6.642,6.36,6.5,26855.24
1622887200000,6.5,6.51,6.381,6.484,19957.61
1622890800000,6.483,6.501,6.295,6.307,25668.82
1622894400000,6.304,6.474,6.25,6.431,23214.5
1622898000000,6.43,6.44,6.303,6.388,10850.66
1622901600000,6.383,6.495,6.315,6.334,18460.48
1622905200000,6.317,6.437,6.314,6.414,3469.98
1622908800000,6.39,6.426,6.281,6.305,25669.89
1622912400000,6.3,6.36,6.235,6.283,12363.46
1622916000000,6.283,6.337,6.271,6.319,3038.6
1622919600000,6.307,6.32,6.221,6.242,2267.9
1622923200000,6.251,6.38,6.251,6.34,8677.08
1622926800000,6.351,6.351,6.216,6.22,5310.33
1622930400000,6.216,6.281,6.16,6.2,15563.65
1622934000000,6.213,6.294,6.153,6.262,11561.7
1622937600000,6.244,6.338,6.217,6.294,14647.69
1622941200000,6.293,6.386,6.288,6.357,15510.52
1622944800000,6.358,6.367,6.297,6.314,9132.24
1622948400000,6.315,6.348,6.26,6.319,10013.48
1622952000000,6.32,6.332,6.292,6.292,3515.02
1622955600000,6.307,6.323,6.285,6.31,4403.5
1622959200000,6.321,6.359,6.253,6.298,18399.68
1622962800000,6.309,6.4,6.27,6.347,11493.07
1622966400000,6.355,6.376,6.315,6.345,4158.42
1622970000000,6.359,6.359,6.301,6.328,3654.19
1622973600000,6.328,6.345,6.248,6.291,10083.65
1622977200000,6.291,6.315,6.13,6.151,40488.67
1622980800000,6.16,6.32,6.12,6.258,40307.89
1622984400000,6.267,6.276,6.152,6.183,14270
1622988000000,6.202,6.281,6.176,6.274,18308.43
1622991600000,6.275,6.3,6.222,6.257,8920.92
1622995200000,6.26,6.28,6.246,6.268,2773.62
1622998800000,6.268,6.269,6.19,6.192,2477.19
1623002400000,6.182,6.23,6.155,6.155,8574.65
1623006000000,6.163,6.178,6.08,6.107,19962.99
1623009600000,6.096,6.147,6.063,6.147,4540.82
1623013200000,6.147,6.201,6.13,6.162,2101.14
1623016800000,6.159,6.159,6.089,6.106,8288.05
1623020400000,6.102,6.179,6.078,6.179,2892.45
1623024000000,6.176,6.242,6.141,6.196,11080.62
1623027600000,6.191,6.3,6.189,6.3,7010.82
1623031200000,6.289,6.3,6.212,6.232,5040.47
1623034800000,6.239,6.252,6.177,6.251,11621.74
