date,open,high,low,close,volume
1640239200000,0.138,0.2,0.138,0.1645,158078448.4
1640242800000,0.1644,0.1655,0.1607,0.1618,30285261.2
1640246400000,0.1618,0.1628,0.1467,0.1505,48397947.2
1640250000000,0.1505,0.165,0.1488,0.1531,56114770.5
1640253600000,0.1532,0.162,0.1531,0.1553,26521577.7
1640257200000,0.1554,0.1576,0.1509,0.154,17058435.7
1640260800000,0.154,0.1619,0.1531,0.1567,28609392.1
1640264400000,0.1565,0.1599,0.1541,0.1546,14912245.3
1640268000000,0.1546,0.1583,0.1525,0.1572,16313263.9
1640271600000,0.1574,0.1648,0.155,0.1635,30151374.6
1640275200000,0.1635,0.1649,0.1506,0.155,34842903.3
1640278800000,0.1549,0.1565,0.151,0.1541,15251090.2
1640282400000,0.1543,0.1586,0.1517,0.1558,8658724.6
1640286000000,0.1557,0.161,0.1554,0.1563,8811962.1
1640289600000,0.1564,0.1594,0.1555,0.1574,4655314.6
1640293200000,0.1574,0.1615,0.1562,0.1591,7001411
1640296800000,0.1591,0.1622,0.1577,0.1602,5718239.6
1640300400000,0.1603,0.1786,0.1601,0.1681,64935021.2
1640304000000,0.1681,0.1686,0.1587,0.1621,15640077.5
1640307600000,0.162,0.1777,0.1608,0.1733,27499922.4
1640311200000,0.1733,0.177,0.167,0.1764,33812218.6
1640314800000,0.1764,0.18,0.1715,0.1752,41261058.2
1640318400000,0.1751,0.1768,0.1686,0.1711,17039909.5
1640322000000,0.1711,0.1724,0.1644,0.1672,13882766.3
1640325600000,0.1672,0.168,0.1628,0.1654,10873579.1
1640329200000,0.1654,0.1704,0.1653,0.1688,10038639.4
1640332800000,0.1689,0.1698,0.1646,0.166,8210943.2
1640336400000,0.166,0.1718,0.1653,0.1713,9119209.7
1640340000000,0.1711,0.1723,0.168,0.1709,9932139.6
1640343600000,0.1711,0.1729,0.1652,0.167,12900187.3
1640347200000,0.167,0.171,0.1652,0.1687,10858643.6
1640350800000,0.1687,0.169,0.165,0.1668,11212198
1640354400000,0.1669,0.1669,0.1571,0.1592,29276635.3
1640358000000,0.1593,0.1596,0.151,0.1588,19193297.1
1640361600000,0.1589,0.1622,0.1551,0.1579,15091070.2
1640365200000,0.1578,0.1598,0.1561,0.1586,4014331.6
1640368800000,0.1586,0.1629,0.1585,0.1613,6951185.9
1640372400000,0.1614,0.1623,0.158,0.1583,3395506.2
1640376000000,0.1582,0.1617,0.1563,0.1613,4224582.3
1640379600000,0.1612,0.1641,0.1601,0.1618,4319831.9
1640383200000,0.1618,0.1631,0.1578,0.1588,4005453.6
1640386800000,0.1589,0.1594,0.1551,0.1575,4056005.4
1640390400000,0.1575,0.1631,0.155,0.1626,10301624.5
1640394000000,0.1628,0.1628,0.155,0.157,10774931.6
1640397600000,0.1569,0.1588,0.1521,0.153,18838808
1640401200000,0.1531,0.1544,0.1502,0.1526,21877430.1
1640404800000,0.1526,0.1544,0.1516,0.1531,15670648.3
1640408400000,0.153,0.156,0.1504,0.153,16501564.7
1640412000000,0.153,0.1549,0.1521,0.1526,6581533.5
1640415600000,0.1525,0.1546,0.1513,0.153,7575765
1640419200000,0.1529,0.1575,0.1523,0.1562,19780309.7
1640422800000,0.1562,0.1578,0.1544,0.1552,10889776.2
1640426400000,0.1552,0.1553,0.1409,0.1453,27571756
1640430000000,0.1454,0.1474,0.1437,0.1459,20936070.7
1640433600000,0.146,0.1471,0.1416,0.1444,36800314.7
1640437200000,0.1444,0.1466,0.1412,0.1449,25354269.4
1640440800000,0.1449,0.1464,0.1437,0.1451,14660808.7
1640444400000,0.1453,0.1475,0.1447,0.1466,9880647.5
1640448000000,0.1464,0.1509,0.1434,0.1438,16150275.8
1640451600000,0.1438,0.1458,0.1406,0.1438,14781217.1
1640455200000,0.1438,0.1456,0.1431,0.1453,7851336.2
1640458800000,0.1453,0.1467,0.145,0.1454,3541320.1
1640462400000,0.1455,0.1479,0.1454,0.1474,7319816
1640466000000,0.1475,0.1488,0.1463,0.1473,4310804.8
1640469600000,0.1473,0.1475,0.145,0.1453,4342846.1
1640473200000,0.1453,0.1475,0.145,0.1468,3389334.1
1640476800000,0.1466,0.1533,0.1459,0.1514,17699719.6
1640480400000,0.1515,0.1546,0.15,0.1506,11380982.2
1640484000000,0.1505,0.1514,0.1455,0.1476,7286857.1
1640487600000,0.1474,0.1477,0.141,0.1433,14895373.2
1640491200000,0.1433,0.1455,0.1426,0.1452,3819437.4
1640494800000,0.1454,0.1472,0.1427,0.1442,5884486.4
1640498400000,0.1442,0.1462,0.1437,0.146,6304376.3
1640502000000,0.1458,0.1509,0.1449,0.1481,9491232.2
1640505600000,0.1484,0.15,0.145,0.146,6557937
1640509200000,0.146,0.1478,0.1451,0.1476,3297959
1640512800000,0.1476,0.1492,0.1454,0.1483,5312432
1640516400000,0.1483,0.1498,0.146,0.1461,10519210.8
1640520000000,0.1461,0.148,0.145,0.1469,8128526.9
1640523600000,0.147,0.1481,0.1452,0.1463,5727143.4
1640527200000,0.1463,0.1471,0.143,0.1443,13009772.7
1640530800000,0.1443,0.147,0.1442,0.1464,4148120.4
1640534400000,0.1464,0.147,0.1435,0.1467,6745493.6
1640538000000,0.1466,0.1469,0.1449,0.1462,4125983.2
1640541600000,0.1462,0.1476,0.145,0.1475,2831170.8
1640545200000,0.1475,0.148,0.1465,0.1473,3549277.2
1640548800000,0.1472,0.1472,0.145,0.146,1916683.6
1640552400000,0.146,0.1466,0.1443,0.1465,1998766.2
1640556000000,0.1466,0.1479,0.1461,0.1471,3649869
1640559600000,0.1471,0.1492,0.1458,0.1482,3029186.6
1640563200000,0.1484,0.151,0.1454,0.1458,9648433.8
1640566800000,0.1456,0.1476,0.1449,0.1467,4714747.7
1640570400000,0.1469,0.1491,0.1465,0.149,4532328.7
1640574000000,0.149,0.156,0.148,0.1544,30040963.2
1640577600000,0.1544,0.156,0.1506,0.1522,14719237.7
1640581200000,0.1521,0.1526,0.1497,0.1507,8010692.2
1640584800000,0.1509,0.1566,0.1504,0.1558,14602201
1640588400000,0.1558,0.1561,0.1524,0.1534,8051092.5
1640592000000,0.1533,0.1557,0.1481,0.1489,19405701.9
1640595600000,0.1489,0.1515,0.1472,0.1509,18387132.5
1640599200000,0.151,0.1523,0.1493,0.1507,8302106.7
1640602800000,0.1507,0.151,0.1493,0.1507,5700641.4
1640606400000,0.1507,0.1548,0.1503,0.1529,11181123.5
1640610000000,0.1526,0.1545,0.152,0.153,8822234.8
1640613600000,0.1531,0.1543,0.1521,0.1534,7106409.9
1640617200000,0.1533,0.1574,0.1533,0.1538,12714362.8
1640620800000,0.1537,0.1556,0.153,0.1551,4762280.2
1640624400000,0.1552,0.1567,0.154,0.1556,5006274.9
1640628000000,0.1555,0.1558,0.1518,0.1539,3802308.4
1640631600000,0.154,0.1541,0.1501,0.1517,3655808
1640635200000,0.1519,0.1529,0.1491,0.1499,7942899.9
1640638800000,0.1499,0.1515,0.1481,0.1496,4879634
1640642400000,0.1494,0.1512,0.148,0.1509,3086180.8
1640646000000,0.1509,0.1526,0.1479,0.1479,4275274.4
1640649600000,0.1479,0.1481,0.138,0.141,37003186.7
1640653200000,0.1409,0.141,0.135,0.1375,15904712.5
1640656800000,0.1374,0.1382,0.1358,0.1369,10275091.8
1640660400000,0.1369,0.1369,0.1255,0.1327,39978796
1640664000000,0.1326,0.1327,0.126,0.1315,25932580.5
1640667600000,0.1315,0.1345,0.1302,0.1333,9864854
1640671200000,0.1333,0.1347,0.1315,0.1329,6390236.5
