date,open,high,low,close,volume
1596085200000,0.1823,0.198,0.1689,0.1881,93034.57
1596088800000,0.189,0.1935,0.1843,0.1874,80495.02
1596092400000,0.1874,0.1874,0.183,0.1833,34158.77
1596096000000,0.1857,0.1914,0.1851,0.1882,34094.76
1596099600000,0.1882,0.1913,0.1849,0.1859,66684.57
1596103200000,0.1859,0.1919,0.1859,0.1896,44983.9
1596106800000,0.1896,0.1896,0.1862,0.187,41341.6
1596110400000,0.1873,0.1893,0.1848,0.1862,39501.75
1596114000000,0.1847,0.1891,0.1829,0.1856,23992.88
1596117600000,0.1839,0.1852,0.1829,0.1848,10615.25
1596121200000,0.1849,0.1873,0.1838,0.1842,8413
1596124800000,0.1842,0.1878,0.1837,0.1846,8290.98
1596128400000,0.1847,0.1883,0.1847,0.1882,16591.21
1596132000000,0.1886,0.1994,0.1856,0.1989,138592.41
1596135600000,0.1988,0.2143,0.193,0.1983,377059.26
1596139200000,0.2,0.2005,0.1885,0.1926,181909.03
1596142800000,0.1926,0.1934,0.1887,0.1928,28059.53
1596146400000,0.1928,0.1936,0.1905,0.1924,2533.71
1596150000000,0.1922,0.1959,0.1911,0.1932,132909.54
1596153600000,0.1924,0.1924,0.1905,0.1919,6371.84
1596157200000,0.1916,0.192,0.1883,0.1904,3364.89
1596160800000,0.1903,0.1924,0.1647,0.1902,48786.45
1596164400000,0.1933,0.1946,0.193,0.1935,45655.08
1596168000000,0.1935,0.1941,0.192,0.1933,64251.7
1596171600000,0.1913,0.1917,0.19,0.19,13828.4
1596175200000,0.19,0.1945,0.19,0.194,8267.03
1596178800000,0.1937,0.1972,0.1911,0.1936,13363.46
1596182400000,0.1936,0.1972,0.1918,0.1921,13977.78
1596186000000,0.193,0.193,0.1903,0.1906,6522.45
1596189600000,0.1909,0.1926,0.189,0.1905,17055.41
1596193200000,0.1918,0.1918,0.1876,0.19,39996.27
1596196800000,0.1877,0.1888,0.1856,0.1878,32619.68
1596200400000,0.1876,0.1887,0.185,0.1874,32726.2
1596204000000,0.1887,0.1899,0.187,0.1872,1494.24
1596207600000,0.187,0.1871,0.1854,0.1856,19649.5
1596211200000,0.1854,0.187,0.1831,0.187,19082.74
1596214800000,0.186,0.1888,0.186,0.188,10672.72
1596218400000,0.1865,0.1868,0.1851,0.186,3442.75
1596222000000,0.1852,0.1872,0.1852,0.1858,1476.08
1596225600000,0.185,0.185,0.1814,0.183,19104.48
1596229200000,0.1842,0.1848,0.1842,0.1846,1135.39
1596232800000,0.1833,0.185,0.1821,0.1846,4513.67
1596236400000,0.1831,0.1859,0.1819,0.1859,847.74
1596240000000,0.1857,0.1857,0.183,0.1841,1536.72
1596243600000,0.1841,0.1841,0.183,0.1837,1855.76
1596247200000,0.184,0.1845,0.184,0.184,3150.93
1596250800000,0.1832,0.1833,0.1809,0.183,32259.3
1596254400000,0.183,0.1838,0.1808,0.1829,11814.41
1596258000000,0.1827,0.1836,0.1807,0.182,5824.05
1596261600000,0.181,0.1835,0.1789,0.1799,95729.21
1596265200000,0.1805,0.1824,0.1778,0.1821,20608.02
1596268800000,0.1821,0.1836,0.1788,0.1813,104370.4
1596272400000,0.1814,0.1859,0.1807,0.1856,99728.9
1596276000000,0.1856,0.1916,0.1849,0.1881,54287.53
1596279600000,0.1873,0.1877,0.185,0.1854,36667.85
1596283200000,0.1853,0.1854,0.184,0.1851,7531.93
1596286800000,0.1851,0.1876,0.1838,0.1856,4977.09
1596290400000,0.1856,0.1896,0.1851,0.1877,63420.3
1596294000000,0.1859,0.1876,0.1859,0.1876,12281.82
1596297600000,0.1878,0.189,0.1865,0.1886,24745.21
1596301200000,0.1886,0.1904,0.1861,0.1896,42060.53
1596304800000,0.1895,0.1896,0.1866,0.1868,11103.96
1596308400000,0.1881,0.1883,0.1852,0.1854,13275.72
1596312000000,0.1855,0.1872,0.1849,0.1861,7658.15
1596315600000,0.1857,0.1869,0.1845,0.1862,18279
1596319200000,0.185,0.1862,0.1847,0.1847,8275.9
1596322800000,0.1851,0.1882,0.15,0.1872,133202.04
1596326400000,0.1863,0.1872,0.185,0.1865,19200.53
1596330000000,0.1865,0.187,0.1858,0.187,1463.52
1596333600000,0.1855,0.188,0.1838,0.1879,27680.69
1596337200000,0.1879,0.1899,0.1879,0.1899,2156.62
1596340800000,0.1899,0.1916,0.17,0.1786,133552.13
1596344400000,0.1807,0.1918,0.1787,0.1895,36705.81
1596348000000,0.1918,0.1978,0.1872,0.19,136126.19
1596351600000,0.19,0.1914,0.1887,0.1891,116727.92
1596355200000,0.1891,0.191,0.1872,0.1874,28796.95
1596358800000,0.1877,0.1899,0.1851,0.1886,13960.6
1596362400000,0.1867,0.1923,0.1867,0.1887,12297.22
1596366000000,0.1888,0.1888,0.1807,0.1808,6770.09
1596369600000,0.1832,0.1911,0.1832,0.1877,13351.42
1596373200000,0.1871,0.1877,0.1837,0.1863,14053.79
1596376800000,0.1859,0.1873,0.1837,0.1841,84275.86
1596380400000,0.1849,0.1853,0.1836,0.185,128450.01
1596384000000,0.185,0.1851,0.1824,0.1845,99706.83
1596387600000,0.1845,0.1882,0.1844,0.186,30591.16
1596391200000,0.1865,0.1879,0.1865,0.1879,2154.43
1596394800000,0.1882,0.1884,0.1857,0.1871,5216.32
1596398400000,0.1856,0.1871,0.1856,0.1871,731.13
1596402000000,0.1863,0.1877,0.1849,0.185,17560.2
1596405600000,0.1871,0.1884,0.1853,0.1861,5753.48
1596409200000,0.1858,0.1878,0.1858,0.1878,3784.91
1596412800000,0.1864,0.1875,0.1855,0.1862,3023.36
1596416400000,0.1871,0.1871,0.1854,0.1854,866.34
1596420000000,0.1855,0.1873,0.1855,0.1873,1351.26
1596423600000,0.1873,0.1873,0.1858,0.1858,13043.89
1596427200000,0.1858,0.1874,0.1843,0.1869,4817.03
1596430800000,0.1849,0.1867,0.1849,0.1867,1516.2
1596434400000,0.1859,0.2,0.1841,0.1879,72425.09
1596438000000,0.1907,0.192,0.1881,0.191,3910.43
1596441600000,0.1907,0.1923,0.1903,0.1922,112361.57
1596445200000,0.1923,0.1931,0.191,0.1931,42270.58
1596448800000,0.191,0.1925,0.1886,0.1898,16558.13
1596452400000,0.1896,0.1919,0.1878,0.191,136290.61
1596456000000,0.1901,0.1908,0.1893,0.1893,10268.13
1596459600000,0.1895,0.191,0.1877,0.1899,132870.26
1596463200000,0.1899,0.1906,0.1893,0.1905,39256.64
1596466800000,0.1903,0.191,0.1886,0.1887,18591.76
1596470400000,0.189,0.19,0.1868,0.1881,25493.42
1596474000000,0.1871,0.1899,0.1871,0.1899,1242.49
1596477600000,0.1883,0.1889,0.1872,0.1888,7332.86
1596481200000,0.1884,0.1887,0.1884,0.1885,473.33
1596484800000,0.188,0.189,0.1875,0.1887,5808.18
1596488400000,0.1884,0.1886,0.1864,0.1864,2130.62
1596492000000,0.1885,0.1886,0.1866,0.1882,10154.83
1596495600000,0.1869,0.1874,0.1858,0.1871,5954.33
1596499200000,0.1882,0.189,0.1866,0.1885,5951.8
1596502800000,0.1888,0.1894,0.1875,0.1875,3727.73
1596506400000,0.1871,0.1881,0.1869,0.1869,9060.7
1596510000000,0.1871,0.1886,0.1848,0.1875,39401.87
1596513600000,0.1873,0.1874,0.1873,0.1873,705.27
1596517200000,0.1875,0.1875,0.1875,0.1875,15.46
1596520800000,0.1862,0.187,0.1859,0.1867,8086.44
1596524400000,0.1871,0.1875,0.1863,0.1875,24676.21
1596528000000,0.1875,0.1899,0.1875,0.1875,21604.65
1596531600000,0.1875,0.1884,0.1865,0.1874,7064.25
1596535200000,0.1872,0.1878,0.1857,0.1875,19806.85
1596538800000,0.1859,0.1876,0.1847,0.1853,7445.03
1596542400000,0.1859,0.1872,0.1854,0.187,20716.51
1596546000000,0.187,0.188,0.1851,0.188,29035.76
1596549600000,0.1883,0.1885,0.1865,0.188,3485.06
1596553200000,0.187,0.19,0.187,0.189,11671.5
1596556800000,0.19,0.19,0.1876,0.1891,7368.85
1596560400000,0.188,0.1893,0.1863,0.1878,15952.32
1596564000000,0.1885,0.1895,0.1853,0.1878,28088.45
1596567600000,0.1889,0.1897,0.1874,0.1897,14287.07
1596571200000,0.1893,0.1897,0.1862,0.1893,13909.24
1596574800000,0.1893,0.1908,0.1893,0.1905,8162.1
1596578400000,0.1903,0.1952,0.1886,0.1915,111164.8
1596582000000,0.1916,0.1916,0.1885,0.1899,17025.97
1596585600000,0.1902,0.1954,0.1886,0.1915,34934.97
1596589200000,0.1915,0.1954,0.1915,0.1922,28267.42
1596592800000,0.1923,0.193,0.1917,0.193,23343.14
1596596400000,0.1915,0.1978,0.1911,0.1948,75857.91
1596600000000,0.1962,0.1974,0.1942,0.197,28262.53
1596603600000,0.197,0.1974,0.1931,0.1935,100511.46
1596607200000,0.1931,0.1976,0.1931,0.1952,97229.79
1596610800000,0.1966,0.2,0.1954,0.2,78911.4
1596614400000,0.2,0.2006,0.1958,0.1978,31170.77
1596618000000,0.1978,0.1988,0.1963,0.1971,9303.44
1596621600000,0.1988,0.1988,0.1946,0.1951,31943.28
1596625200000,0.1951,0.1961,0.1928,0.1957,70260.89
1596628800000,0.1941,0.196,0.1924,0.1924,16090.76
1596632400000,0.1931,0.1945,0.1913,0.1933,30216.39
1596636000000,0.1943,0.1984,0.1935,0.1943,19354.7
