date,open,high,low,close,volume
1644300000000,0.6868,0.879,0.6868,0.7836,10457748.8
1644303600000,0.7836,0.839,0.768,0.8045,5369876.3
1644307200000,0.8045,0.8047,0.7605,0.7736,2432862.4
1644310800000,0.7732,0.793,0.7508,0.7639,1969755.3
1644314400000,0.7625,0.7684,0.7512,0.7537,762286.4
1644318000000,0.7533,0.7851,0.73,0.7784,2086183.2
1644321600000,0.7789,0.7845,0.735,0.7472,1401098.6
1644325200000,0.7479,0.775,0.7468,0.7664,997569
1644328800000,0.7666,0.7698,0.7235,0.73,1223472.7
1644332400000,0.73,0.7529,0.7152,0.736,1631581.3
1644336000000,0.736,0.7615,0.7283,0.7356,918854.5
1644339600000,0.7365,0.7425,0.6954,0.701,1310271.6
1644343200000,0.7011,0.733,0.701,0.7098,961789.9
1644346800000,0.7117,0.7127,0.688,0.6925,815286.1
1644350400000,0.694,0.755,0.6931,0.7529,1686421.9
1644354000000,0.754,0.7714,0.7302,0.7667,1228127.6
1644357600000,0.7637,0.7798,0.7421,0.7627,1406560.9
1644361200000,0.7647,0.778,0.7479,0.7626,1022380.4
1644364800000,0.7625,0.7988,0.7439,0.7967,1615422.5
1644368400000,0.7972,0.82,0.7727,0.7839,1421918.9
1644372000000,0.7827,0.7869,0.7395,0.7472,858751.8
1644375600000,0.7467,0.7546,0.7394,0.7462,245954.7
1644379200000,0.7461,0.7516,0.74,0.7444,187417.8
1644382800000,0.7447,0.7461,0.7258,0.7343,473963.7
1644386400000,0.7343,0.7411,0.7297,0.7409,324000.5
1644390000000,0.7405,0.7416,0.7262,0.7361,237834.2
1644393600000,0.7341,0.7362,0.7166,0.7189,424548.5
1644397200000,0.7189,0.7308,0.718,0.719,399187.8
1644400800000,0.719,0.7298,0.7121,0.7247,428987
1644404400000,0.7245,0.7392,0.718,0.7321,480666.7
1644408000000,0.7332,0.7641,0.7271,0.7628,1005350.7
1644411600000,0.7627,0.7627,0.7336,0.7367,864574.8
1644415200000,0.7365,0.7488,0.7365,0.746,314152.6
1644418800000,0.7469,0.7484,0.7322,0.7344,472345
1644422400000,0.7336,0.745,0.7278,0.7418,375144.8
1644426000000,0.7414,0.7592,0.7306,0.7404,908464
1644429600000,0.7406,0.7477,0.7262,0.7477,413997.8
1644433200000,0.7479,0.76,0.7413,0.7522,442381.4
1644436800000,0.7545,0.76,0.7417,0.7594,406291.6
1644440400000,0.7593,0.7593,0.7393,0.7394,291481.1
1644444000000,0.7395,0.7473,0.7353,0.7452,202323.1
1644447600000,0.745,0.7472,0.7291,0.7329,303449.5
1644451200000,0.7329,0.7355,0.7104,0.7147,483380.7
1644454800000,0.7148,0.7222,0.7116,0.7213,192879.4
1644458400000,0.7204,0.723,0.7027,0.7028,600056.6
1644462000000,0.7028,0.7054,0.6993,0.6996,315454.5
1644465600000,0.6999,0.7047,0.6962,0.7023,238169.6
1644469200000,0.7021,0.715,0.7,0.7098,275359.7
1644472800000,0.7098,0.73,0.7007,0.7233,415342.9
1644476400000,0.7235,0.7243,0.7058,0.7108,413348.2
1644480000000,0.7115,0.7154,0.7051,0.706,156207.1
