date,open,high,low,close,volume
1577836800000,0.00003014,0.00003019,0.00003009,0.00003018,24437
1577840400000,0.00003018,0.00003018,0.00003004,0.00003014,15624
1577844000000,0.00003013,0.00003016,0.0000301,0.00003012,9848
1577847600000,0.00003008,0.00003035,0.00003008,0.00003029,44091
1577851200000,0.00003034,0.0000304,0.00003029,0.0000304,46220
1577854800000,0.00003038,0.00003048,0.00003034,0.00003043,28946
1577858400000,0.00003047,0.00003047,0.00002999,0.00003,88465
1577862000000,0.00002999,0.00002999,0.0000298,0.00002989,83066
1577865600000,0.00002991,0.00003,0.00002987,0.00003,40896
1577869200000,0.00002998,0.00003011,0.00002997,0.00003003,92000
1577872800000,0.00003004,0.00003013,0.00002998,0.00003011,17947
1577876400000,0.00003011,0.00003022,0.00003011,0.00003022,35008
1577880000000,0.00003016,0.0000302,0.00003011,0.00003019,22596
1577883600000,0.00003019,0.00003046,0.00003017,0.00003045,37807
1577887200000,0.00003044,0.00003064,0.00003033,0.00003059,76333
1577890800000,0.00003059,0.00003098,0.00003048,0.00003098,141379
1577894400000,0.00003098,0.00003103,0.00003066,0.00003066,112047
1577898000000,0.00003065,0.00003072,0.00003048,0.00003067,49714
1577901600000,0.00003065,0.00003074,0.00003055,0.00003069,25945
1577905200000,0.00003067,0.00003067,0.00003048,0.00003054,11936
1577908800000,0.00003053,0.00003085,0.00003052,0.00003084,65915
1577912400000,0.00003079,0.00003084,0.00003076,0.00003082,18969
1577916000000,0.00003079,0.00003084,0.0000306,0.00003063,33611
1577919600000,0.00003063,0.00003066,0.00003054,0.00003055,18439
1577923200000,0.00003056,0.0000306,0.00003052,0.00003059,25029
1577926800000,0.00003059,0.00003072,0.00003056,0.00003072,34055
1577930400000,0.0000307,0.00003077,0.00003027,0.00003038,98368
1577934000000,0.00003038,0.00003052,0.00003037,0.00003052,9345
1577937600000,0.00003054,0.00003054,0.00003035,0.00003037,24451
1577941200000,0.00003039,0.00003056,0.00003039,0.00003048,13337
1577944800000,0.00003052,0.00003052,0.0000303,0.00003038,29482
1577948400000,0.00003038,0.00003045,0.00003026,0.00003027,28235
1577952000000,0.00003035,0.00003035,0.00003025,0.00003032,17658
1577955600000,0.00003032,0.00003046,0.0000303,0.00003044,16674
1577959200000,0.00003044,0.0000305,0.00003036,0.00003049,22019
1577962800000,0.00003048,0.00003051,0.00003043,0.00003047,19289
1577966400000,0.00003047,0.00003057,0.00003042,0.00003056,29832
1577970000000,0.00003057,0.00003081,0.00003048,0.00003048,170643
1577973600000,0.00003047,0.00003057,0.00003038,0.00003057,108336
1577977200000,0.00003059,0.00003067,0.00003045,0.00003046,35763
1577980800000,0.00003046,0.00003082,0.00003044,0.00003051,101095
1577984400000,0.00003056,0.0000308,0.0000302,0.00003044,149195
1577988000000,0.00003049,0.0000307,0.00003046,0.00003052,63558
1577991600000,0.00003055,0.00003061,0.00003046,0.00003061,38436
1577995200000,0.00003061,0.00003071,0.0000306,0.00003066,52775
1577998800000,0.00003067,0.00003068,0.00003038,0.00003039,38299
1578002400000,0.00003044,0.00003055,0.00003027,0.00003054,49410
1578006000000,0.0000305,0.00003069,0.00003044,0.00003069,53051
1578009600000,0.0000307,0.00003125,0.0000307,0.00003124,155350
1578013200000,0.00003125,0.00003201,0.00003125,0.00003183,480456
1578016800000,0.00003183,0.00003282,0.00003182,0.0000322,550974
1578020400000,0.00003216,0.00003258,0.00003173,0.00003184,178033
1578024000000,0.00003184,0.00003225,0.00003068,0.00003068,316640
1578027600000,0.00003075,0.00003148,0.00003063,0.000031,276192
1578031200000,0.00003104,0.00003154,0.00003081,0.00003145,206602
1578034800000,0.0000314,0.00003155,0.00003122,0.00003134,111904
1578038400000,0.00003134,0.00003143,0.00003101,0.00003122,125988
1578042000000,0.00003117,0.0000313,0.00003095,0.00003116,108346
1578045600000,0.00003115,0.00003116,0.00003089,0.00003089,66977
1578049200000,0.00003087,0.00003092,0.00003052,0.00003074,133642
1578052800000,0.00003074,0.00003086,0.0000307,0.00003077,88362
1578056400000,0.00003071,0.00003087,0.00003055,0.00003069,79111
1578060000000,0.00003072,0.00003088,0.00003056,0.00003076,78860
1578063600000,0.00003074,0.00003091,0.00003068,0.0000309,44794
1578067200000,0.00003087,0.00003093,0.00003038,0.00003042,124353
1578070800000,0.00003043,0.00003053,0.00003034,0.00003047,57065
1578074400000,0.00003051,0.00003061,0.00003043,0.00003054,31336
1578078000000,0.00003055,0.00003076,0.00003051,0.00003071,52771
1578081600000,0.00003068,0.00003077,0.0000305,0.00003064,22855
1578085200000,0.00003064,0.00003092,0.0000306,0.00003072,68283
1578088800000,0.00003073,0.00003102,0.00003068,0.0000308,99677
1578092400000,0.00003079,0.00003105,0.00003067,0.00003094,84644
1578096000000,0.00003097,0.00003121,0.00003095,0.00003115,79165
1578099600000,0.00003115,0.00003115,0.00003078,0.00003083,36165
1578103200000,0.00003083,0.00003104,0.00003082,0.00003099,15615
1578106800000,0.00003099,0.00003112,0.00003096,0.00003112,27762
1578110400000,0.00003112,0.00003125,0.00003108,0.00003119,39791
1578114000000,0.00003124,0.00003157,0.00003122,0.00003144,113085
1578117600000,0.00003143,0.00003169,0.00003131,0.00003169,81053
1578121200000,0.00003163,0.00003163,0.00003115,0.00003142,57033
1578124800000,0.00003146,0.00003167,0.00003143,0.0000316,43392
1578128400000,0.00003161,0.00003167,0.00003112,0.00003119,78105
1578132000000,0.00003121,0.00003123,0.00003093,0.00003107,81774
1578135600000,0.00003103,0.00003112,0.00003091,0.00003108,28519
1578139200000,0.00003109,0.00003112,0.00003091,0.00003091,18768
1578142800000,0.00003093,0.00003103,0.0000308,0.00003096,27810
1578146400000,0.00003097,0.00003109,0.00003091,0.00003102,25621
1578150000000,0.00003109,0.00003132,0.00003103,0.00003116,107936
1578153600000,0.00003118,0.00003153,0.00003112,0.00003145,62410
1578157200000,0.00003144,0.00003163,0.00003132,0.00003137,103106
1578160800000,0.00003137,0.0000319,0.00003127,0.00003164,274454
1578164400000,0.00003165,0.00003169,0.00003122,0.00003124,94719
1578168000000,0.00003132,0.00003144,0.00003123,0.00003139,44506
1578171600000,0.00003135,0.00003164,0.00003135,0.00003158,106270
1578175200000,0.00003157,0.00003173,0.00003136,0.00003172,66970
1578178800000,0.00003174,0.00003197,0.00003167,0.00003197,150569
1578182400000,0.00003197,0.00003197,0.0000316,0.00003169,149685
1578186000000,0.00003162,0.0000317,0.0000314,0.00003159,86411
1578189600000,0.00003159,0.00003177,0.00003155,0.00003169,82073
1578193200000,0.00003171,0.00003183,0.00003147,0.00003151,86168
1578196800000,0.00003146,0.00003159,0.00003129,0.0000313,35609
1578200400000,0.00003133,0.00003139,0.00003125,0.00003132,41277
1578204000000,0.00003132,0.00003147,0.0000313,0.00003136,30108
1578207600000,0.00003139,0.00003144,0.00003122,0.00003126,53464
1578211200000,0.00003125,0.00003142,0.00003125,0.00003138,16487
1578214800000,0.00003135,0.00003146,0.00003119,0.0000313,48752
1578218400000,0.00003136,0.00003139,0.00003128,0.00003131,29412
1578222000000,0.00003128,0.00003148,0.00003128,0.0000314,29509
1578225600000,0.00003144,0.00003158,0.00003137,0.00003154,34754
1578229200000,0.00003151,0.00003174,0.00003147,0.00003174,20429
1578232800000,0.00003174,0.00003199,0.00003172,0.00003189,97092
1578236400000,0.00003193,0.00003196,0.00003168,0.00003174,80004
1578240000000,0.00003176,0.00003188,0.00003166,0.00003172,80054
1578243600000,0.00003176,0.00003185,0.00003153,0.00003158,47706
1578247200000,0.00003152,0.00003161,0.00003134,0.00003137,69012
1578250800000,0.00003135,0.00003139,0.00003125,0.0000313,61051
1578254400000,0.0000313,0.00003146,0.00003128,0.00003142,39139
1578258000000,0.00003141,0.00003149,0.00003131,0.00003137,60721
1578261600000,0.00003137,0.00003137,0.0000311,0.00003124,107813
1578265200000,0.00003124,0.00003137,0.00003111,0.00003111,57832
1578268800000,0.00003121,0.00003124,0.00003103,0.00003107,68418
1578272400000,0.00003104,0.00003136,0.00003103,0.00003108,53507
1578276000000,0.00003114,0.00003119,0.0000307,0.00003072,192132
1578279600000,0.0000307,0.00003077,0.0000306,0.00003071,92159
1578283200000,0.00003065,0.00003119,0.00003064,0.00003116,209798
1578286800000,0.00003115,0.00003115,0.0000308,0.00003084,35955
1578290400000,0.00003085,0.00003101,0.00003076,0.00003086,38861
1578294000000,0.00003084,0.00003092,0.0000308,0.00003092,14773
1578297600000,0.00003092,0.00003096,0.00003069,0.00003069,57584
1578301200000,0.00003069,0.00003095,0.00003069,0.00003088,68539
1578304800000,0.00003082,0.0000313,0.00003081,0.0000313,95990
1578308400000,0.00003129,0.00003142,0.00003126,0.00003131,89190
1578312000000,0.00003129,0.0000313,0.00003112,0.00003124,34094
1578315600000,0.0000312,0.00003126,0.00003101,0.00003121,50615
1578319200000,0.0000312,0.0000316,0.00003099,0.00003153,110835
1578322800000,0.00003158,0.0000321,0.00003153,0.00003192,239533
1578326400000,0.00003192,0.00003192,0.0000316,0.00003175,77534
1578330000000,0.00003175,0.0000323,0.00003174,0.00003218,202074
1578333600000,0.00003222,0.00003222,0.00003191,0.00003204,70801
1578337200000,0.00003209,0.00003223,0.0000319,0.00003211,101130
1578340800000,0.0000321,0.0000321,0.00003182,0.00003184,54475
1578344400000,0.00003183,0.00003187,0.00003168,0.00003172,37333
1578348000000,0.00003177,0.00003177,0.00003067,0.00003083,254053
1578351600000,0.00003081,0.00003127,0.00003063,0.00003127,200803
1578355200000,0.00003126,0.00003126,0.00002989,0.00003025,260574
1578358800000,0.00003016,0.00003018,0.00002938,0.00002999,264567
1578362400000,0.00002998,0.00003014,0.00002991,0.00003014,61239
1578366000000,0.00003015,0.00003016,0.00002983,0.00002996,57571
1578369600000,0.00002992,0.00002992,0.00002961,0.00002982,51865
1578373200000,0.00002989,0.00003001,0.00002989,0.00002998,29255
1578376800000,0.00003,0.00003007,0.0000298,0.00003002,70244
1578380400000,0.00003002,0.0000302,0.00002995,0.00003004,27250
1578384000000,0.00002996,0.00003009,0.00002991,0.00003,32906
1578387600000,0.00003003,0.00003008,0.00002971,0.00002989,120764
1578391200000,0.00002989,0.00002989,0.00002981,0.00002985,8484
1578394800000,0.00002985,0.00002987,0.00002968,0.0000298,48458
1578398400000,0.00002978,0.00003045,0.00002976,0.00003036,184632
1578402000000,0.00003037,0.00003042,0.00002996,0.00003019,132193
1578405600000,0.00003012,0.00003031,0.00003012,0.00003023,29846
1578409200000,0.00003026,0.00003045,0.00003026,0.00003044,49869
