date,open,high,low,close,volume
1636023600000,0.001755,0.003945,0.001755,0.002294,16281.113
1636027200000,0.002294,0.0025,0.00201,0.002044,6577.097
1636030800000,0.002053,0.002246,0.002041,0.002073,3346.008
1636034400000,0.002076,0.002076,0.001859,0.001932,2058.324
1636038000000,0.00195,0.002185,0.001891,0.002115,1061.186
1636041600000,0.002097,0.002297,0.001955,0.001982,815.628
1636045200000,0.001991,0.002282,0.001969,0.002122,993.353
1636048800000,0.002107,0.002223,0.002055,0.002177,732.539
1636052400000,0.002177,0.002295,0.002153,0.002246,1222.034
1636056000000,0.002236,0.002284,0.002115,0.002232,929.313
1636059600000,0.002228,0.002242,0.002122,0.002148,691.32
1636063200000,0.002146,0.002186,0.002109,0.002129,298.43
1636066800000,0.002126,0.002234,0.002121,0.00215,430.984
1636070400000,0.002138,0.002144,0.002065,0.002078,518.732
1636074000000,0.00208,0.002172,0.002026,0.002031,1897.956
1636077600000,0.002026,0.002115,0.002007,0.002013,1096.049
1636081200000,0.002015,0.002025,0.001917,0.001935,1103.205
1636084800000,0.00193,0.001954,0.001861,0.001906,1457.744
1636088400000,0.001905,0.001962,0.001885,0.001921,757.032
1636092000000,0.001921,0.00196,0.001884,0.00194,728.929
1636095600000,0.001937,0.001996,0.001923,0.001943,1292.244
1636099200000,0.001943,0.001986,0.001917,0.001932,613.071
1636102800000,0.00193,0.001947,0.001904,0.001912,744.356
1636106400000,0.001912,0.001942,0.001868,0.001923,904.346
1636110000000,0.001913,0.001995,0.001904,0.001934,1460.663
1636113600000,0.001935,0.001941,0.00188,0.001882,152.922
1636117200000,0.001882,0.001908,0.001841,0.001847,1206.081
1636120800000,0.00185,0.001853,0.001761,0.001783,1788.871
1636124400000,0.001786,0.001889,0.001783,0.001882,1373.977
1636128000000,0.001882,0.001894,0.001855,0.001866,118.207
1636131600000,0.001889,0.001916,0.001863,0.001894,407.811
1636135200000,0.001911,0.001959,0.001904,0.001955,670.952
1636138800000,0.001943,0.001943,0.0019,0.001915,70.531
1636142400000,0.001915,0.001942,0.001894,0.001902,167.852
1636146000000,0.001922,0.001922,0.001864,0.001883,221.795
1636149600000,0.00188,0.001909,0.001862,0.001874,86.892
1636153200000,0.001868,0.001901,0.001868,0.001873,108.216
1636156800000,0.001889,0.001904,0.001831,0.001835,643.908
1636160400000,0.001842,0.00186,0.001827,0.001846,186.228
1636164000000,0.001847,0.001893,0.001845,0.001867,666.163
1636167600000,0.001872,0.001974,0.00184,0.001919,1372.042
1636171200000,0.001924,0.002,0.001923,0.001988,625.419
1636174800000,0.001986,0.00203,0.00195,0.001968,243.61
1636178400000,0.001946,0.002015,0.001921,0.002,151.143
1636182000000,0.001982,0.002039,0.001982,0.002032,957.704
1636185600000,0.002032,0.00214,0.002013,0.00214,593.338
1636189200000,0.002135,0.002288,0.002122,0.002199,4170.406
1636192800000,0.002187,0.002712,0.002181,0.002332,3355.679
1636196400000,0.002331,0.002572,0.002165,0.002211,5062.449
1636200000000,0.002212,0.002244,0.002126,0.002186,2253.072
1636203600000,0.002185,0.002193,0.002045,0.002099,1632.416
1636207200000,0.002109,0.002238,0.00209,0.0022,1720.256
1636210800000,0.002197,0.002199,0.00212,0.002129,1011.222
1636214400000,0.002137,0.002257,0.002126,0.002175,1590.957
1636218000000,0.002171,0.002301,0.002143,0.002218,2144.198
1636221600000,0.002219,0.002294,0.002219,0.002255,964.464
1636225200000,0.002257,0.0023,0.002187,0.002187,507.957
1636228800000,0.002202,0.002216,0.002146,0.002164,677.905
1636232400000,0.002173,0.002206,0.002129,0.002132,402.66
1636236000000,0.002131,0.002208,0.002131,0.002156,393.732
1636239600000,0.00217,0.002233,0.002167,0.002207,301.643
1636243200000,0.002207,0.002269,0.00214,0.00226,1208.456
1636246800000,0.002261,0.002406,0.002224,0.002355,2235.799
1636250400000,0.002358,0.002578,0.002334,0.00237,3324.884
1636254000000,0.002372,0.002507,0.002301,0.002343,1751.395
1636257600000,0.002336,0.002409,0.002324,0.002365,1294.212
1636261200000,0.00236,0.002487,0.002347,0.002382,1044.951
1636264800000,0.002379,0.002382,0.002334,0.002369,456.061
1636268400000,0.002364,0.002397,0.002222,0.00228,2137.82
1636272000000,0.00228,0.002313,0.002262,0.002278,712.357
1636275600000,0.002273,0.002417,0.002248,0.002363,1586.963
1636279200000,0.00236,0.002367,0.002244,0.002264,1239.821
1636282800000,0.002271,0.002313,0.002246,0.002271,1130.162
1636286400000,0.002273,0.002335,0.002241,0.002319,1288.76
1636290000000,0.002319,0.002415,0.002315,0.002415,723.828
1636293600000,0.002411,0.002427,0.00233,0.002396,687.204
1636297200000,0.002394,0.002394,0.002266,0.00233,1834.917
1636300800000,0.002336,0.002358,0.00232,0.002348,164.698
1636304400000,0.002349,0.002379,0.002331,0.002357,146.265
1636308000000,0.002363,0.002394,0.002317,0.002328,332.941
1636311600000,0.002324,0.002351,0.002315,0.00235,140.217
1636315200000,0.002345,0.002399,0.002333,0.002385,221.77
1636318800000,0.002388,0.002486,0.002363,0.002425,592.719
1636322400000,0.002417,0.002457,0.002393,0.002408,295.742
1636326000000,0.002399,0.002451,0.00235,0.00235,158.991
1636329600000,0.002349,0.002361,0.002235,0.002254,541.736
1636333200000,0.002253,0.002325,0.002228,0.002312,284.409
1636336800000,0.002312,0.002418,0.002306,0.002373,683.735
1636340400000,0.002368,0.002438,0.002352,0.002363,422.204
1636344000000,0.002369,0.002391,0.002304,0.002365,280.938
1636347600000,0.002364,0.00241,0.00234,0.002352,190.523
1636351200000,0.002352,0.002363,0.002322,0.002342,206.369
1636354800000,0.002342,0.002413,0.002337,0.002351,166.609
1636358400000,0.002347,0.0024,0.00231,0.00231,243.393
1636362000000,0.002318,0.002339,0.002265,0.002284,207.608
1636365600000,0.002284,0.002314,0.002257,0.002302,467.837
1636369200000,0.0023,0.002351,0.0023,0.002315,118.412
1636372800000,0.002314,0.00234,0.002311,0.002321,82.059
1636376400000,0.002319,0.002369,0.002319,0.002369,129.631
1636380000000,0.002365,0.002398,0.002327,0.002376,497.234
1636383600000,0.002378,0.002378,0.002333,0.002361,283.898
1636387200000,0.002362,0.002393,0.002295,0.002301,397.605
1636390800000,0.002301,0.002334,0.002301,0.002316,134.062
1636394400000,0.002322,0.002334,0.002316,0.002318,150.69
1636398000000,0.002318,0.002329,0.002286,0.002294,153.151
1636401600000,0.002294,0.002298,0.002247,0.002264,158.426
1636405200000,0.002264,0.002264,0.002223,0.002245,79.486
1636408800000,0.002243,0.002245,0.0022,0.0022,80.852
1636412400000,0.002208,0.002212,0.00213,0.002142,153.56
1636416000000,0.002146,0.00215,0.002113,0.002131,105.521
1636419600000,0.002128,0.002145,0.0021,0.00211,87.879
1636423200000,0.002108,0.00211,0.002029,0.002068,854.454
1636426800000,0.002063,0.002116,0.002063,0.002074,463.543
1636430400000,0.002085,0.002148,0.002085,0.00213,670.482
1636434000000,0.00213,0.002194,0.002125,0.002153,112.687
1636437600000,0.002155,0.002161,0.002108,0.002136,286.034
1636441200000,0.002139,0.002159,0.002128,0.002159,155.635
1636444800000,0.002159,0.002167,0.00213,0.002136,462.744
1636448400000,0.002139,0.002154,0.002138,0.002153,77.642
1636452000000,0.002154,0.002158,0.002136,0.002157,37.456
1636455600000,0.002157,0.002172,0.002143,0.00215,112.586
1636459200000,0.002143,0.002176,0.002133,0.002164,147.077
1636462800000,0.00217,0.00217,0.002128,0.002133,17.332
1636466400000,0.002139,0.002145,0.00213,0.00213,69.576
1636470000000,0.002141,0.002151,0.002134,0.002135,207.809
1636473600000,0.002142,0.002145,0.002125,0.002135,33.883
1636477200000,0.002141,0.002148,0.002131,0.002135,31.492
1636480800000,0.002137,0.002141,0.002128,0.002141,18.991
1636484400000,0.002135,0.002172,0.002134,0.002158,41.087
1636488000000,0.002163,0.002163,0.002149,0.002149,2.168
1636491600000,0.002149,0.002151,0.002128,0.002128,16.157
1636495200000,0.002138,0.002179,0.002138,0.002143,11.046
1636498800000,0.002158,0.00219,0.002156,0.00217,48.617
1636502400000,0.002158,0.00216,0.002142,0.002153,40.978
1636506000000,0.002153,0.00218,0.002148,0.002167,41.58
1636509600000,0.002164,0.002164,0.002147,0.002163,52.748
1636513200000,0.002167,0.002176,0.002153,0.002167,44.239
1636516800000,0.002159,0.002176,0.002159,0.002167,25.218
1636520400000,0.002167,0.002319,0.002152,0.002257,481.559
1636524000000,0.002256,0.002288,0.002232,0.002248,188.09
1636527600000,0.00225,0.002276,0.002235,0.002274,80.514
1636531200000,0.002263,0.002275,0.002255,0.002255,58.334
1636534800000,0.002256,0.002264,0.002248,0.002262,39.526
1636538400000,0.002263,0.002264,0.00224,0.002262,21.099
1636542000000,0.002262,0.002356,0.002262,0.00235,212.769
1636545600000,0.002339,0.002423,0.002313,0.002376,311.227
1636549200000,0.002369,0.002612,0.002354,0.002354,1775.631
1636552800000,0.002369,0.00247,0.002279,0.002339,1293.99
1636556400000,0.002338,0.002453,0.002336,0.002391,468.018
1636560000000,0.002379,0.002498,0.002343,0.002362,815.382
1636563600000,0.002369,0.002411,0.002306,0.00231,242.617
1636567200000,0.002309,0.00236,0.002309,0.00236,150.295
1636570800000,0.00236,0.002396,0.002351,0.002395,97.009
1636574400000,0.002385,0.002427,0.002348,0.00239,331.497
