date,open,high,low,close,volume
1577836800000,0.005727,0.005727,0.005699,0.005702,1113.486
1577840400000,0.005706,0.005723,0.005698,0.005709,253.104
1577844000000,0.005709,0.005729,0.005698,0.005727,427.52
1577847600000,0.005724,0.005734,0.005714,0.005729,146.382
1577851200000,0.005733,0.00576,0.005729,0.005759,1430.068
1577854800000,0.005759,0.005769,0.005727,0.00573,397.76
1577858400000,0.005737,0.005789,0.005728,0.005784,367.842
1577862000000,0.005788,0.005792,0.005746,0.00575,278.914
1577865600000,0.005753,0.005757,0.005738,0.005746,299.302
1577869200000,0.005742,0.005769,0.005741,0.005754,213.766
1577872800000,0.005755,0.005795,0.005752,0.00578,256.057
1577876400000,0.005773,0.005827,0.005773,0.005777,371.684
1577880000000,0.005781,0.005837,0.005769,0.005836,1105.26
1577883600000,0.005836,0.005836,0.005805,0.005825,680.919
1577887200000,0.005824,0.005847,0.005808,0.005837,226.337
1577890800000,0.005837,0.00585,0.005825,0.005829,595.097
1577894400000,0.005826,0.005842,0.005825,0.005839,752.633
1577898000000,0.005834,0.005841,0.005825,0.005825,206.607
1577901600000,0.005831,0.005831,0.005786,0.005792,592.719
1577905200000,0.005801,0.005828,0.005793,0.005805,323.627
1577908800000,0.005806,0.005817,0.005797,0.005807,109.713
1577912400000,0.005803,0.005908,0.005795,0.00589,2920.421
1577916000000,0.005882,0.005902,0.005789,0.005823,1140.528
1577919600000,0.005817,0.005822,0.005797,0.005811,137.293
1577923200000,0.005802,0.005803,0.005727,0.005738,3269.532
1577926800000,0.00574,0.005752,0.005735,0.005752,427.943
1577930400000,0.005747,0.005752,0.00571,0.005714,871.684
1577934000000,0.005713,0.005786,0.00571,0.005775,2069.057
1577937600000,0.005779,0.005793,0.005764,0.005772,335.161
1577941200000,0.005768,0.005773,0.005742,0.005745,203.53
1577944800000,0.005745,0.005753,0.005737,0.005745,130.12
1577948400000,0.005743,0.00577,0.005728,0.005738,816.12
1577952000000,0.00574,0.005773,0.005735,0.005753,144.625
1577955600000,0.005757,0.005785,0.005757,0.005776,132.136
1577959200000,0.005777,0.005778,0.005741,0.005747,282.737
1577962800000,0.005755,0.005772,0.005746,0.005764,532.481
1577966400000,0.005769,0.005771,0.005743,0.005744,493.169
1577970000000,0.005754,0.005787,0.005748,0.005775,534.337
1577973600000,0.005772,0.005777,0.005747,0.005751,212.33
1577977200000,0.005752,0.005752,0.00573,0.005734,312.524
1577980800000,0.005733,0.005769,0.005733,0.005737,438.268
1577984400000,0.005747,0.005799,0.005739,0.005789,1204.897
1577988000000,0.005786,0.005791,0.005757,0.005779,433.04
1577991600000,0.00578,0.005793,0.005762,0.00577,134.564
1577995200000,0.00577,0.005799,0.005733,0.005799,527.483
1577998800000,0.005781,0.005791,0.005739,0.005744,308.099
1578002400000,0.005745,0.005804,0.00574,0.005784,1020.04
1578006000000,0.005781,0.005786,0.005741,0.005745,1609.52
1578009600000,0.005747,0.005793,0.005744,0.005785,992.238
1578013200000,0.005784,0.005834,0.005782,0.005812,1370.636
1578016800000,0.005804,0.005824,0.005804,0.005813,671.955
1578020400000,0.005814,0.005857,0.005805,0.005815,1612.007
1578024000000,0.005815,0.005832,0.00571,0.005712,1642.722
1578027600000,0.005713,0.00575,0.0057,0.005745,275.353
1578031200000,0.00574,0.005779,0.00572,0.005773,667.993
1578034800000,0.005777,0.005777,0.00575,0.005763,143.395
1578038400000,0.00576,0.00601,0.005754,0.005855,8519.562
1578042000000,0.005852,0.005895,0.005835,0.005851,948.817
1578045600000,0.005847,0.005871,0.005806,0.005828,361.448
1578049200000,0.005835,0.005859,0.005828,0.005851,384.794
1578052800000,0.005839,0.005883,0.005829,0.005882,437.688
1578056400000,0.005872,0.005881,0.005843,0.005865,384.994
1578060000000,0.00587,0.005895,0.005833,0.005847,304.727
1578063600000,0.005847,0.005874,0.005832,0.005837,229.508
1578067200000,0.005835,0.005873,0.005819,0.00585,596.171
1578070800000,0.005851,0.0059,0.00585,0.005893,1419.388
1578074400000,0.005894,0.005918,0.005878,0.005918,614.257
